;Arbeitslosigkeit;;;;;;;;
40421-MATTIGHOFEN;66;7;11,2%;66;14;26,1%;131;20;18,2%
40422-MAUERKIRCHEN;32;4;12,4%;36;7;23,4%;67;10;18,0%
40423-MINING;10;2;26,0%;7;2;26,5%;17;4;26,2%
40424-MOOSBACH;12;4;51,6%;11;3;36,8%;23;7;44,2%
40425-MOOSDORF;10;-5;-32,0%;12;1;9,6%;22;-4;-13,6%
40426-MUNDERFING;26;-2;-6,5%;23;-1;-2,5%;49;-2;-4,7%
40427-NEUKIRCHEN AN DER ENKNACH;11;1;8,7%;17;5;36,5%;28;5;23,7%
40428-OSTERMIETHING;24;0;0,7%;22;0;0,4%;46;0;0,5%
40429-PALTING;3;-1;-23,3%;3;0;-4,8%;6;-1;-14,1%
40430-PERWANG AM GRABENSEE;7;2;26,5%;5;1;23,9%;12;2;25,4%
40431-PFAFFSTAETT;10;2;27,5%;6;-1;-17,4%;16;1;4,9%
40432-PISCHELSDORF AM ENGELBACH;9;0;1,8%;13;3;27,6%;23;3;15,4%
40433-POLLING IM INNKREIS;5;-1;-13,8%;5;-1;-16,2%;9;-2;-15,0%
40434-ROSZBACH;8;0;-2,0%;7;-1;-10,8%;15;-1;-6,2%
40435-SANKT GEORGEN AM FILLMANNSBACH;3;1;50,0%;3;1;60,0%;5;2;55,0%
40436-SANKT JOHANN AM WALDE;11;3;44,4%;17;-2;-12,4%;27;1;3,8%
40437-SANKT PANTALEON;29;3;13,0%;33;2;7,3%;62;6;9,9%
40438-SANKT PETER AM HART;19;2;9,5%;13;4;40,0%;32;5;20,0%
40439-SANKT RADEGUND;5;2;47,7%;3;-1;-23,4%;8;1;11,0%
40440-SANKT VEIT IM INNKREIS;4;0;4,8%;1;0;0,0%;5;0;3,6%
40441-SCHALCHEN;33;7;25,0%;35;3;10,1%;68;10;16,9%
40442-SCHWAND IM INNKREIS;3;1;38,5%;6;3;80,5%;9;4;64,2%
40443-TARSDORF;9;0;1,0%;8;0;-1,1%;16;0;0,0%
40444-TREUBACH;6;1;26,7%;3;-1;-22,9%;9;0;4,6%
40445-UEBERACKERN;1;-1;-50,0%;1;-1;-66,7%;1;-2;-59,5%
40446-WENG IM INNKREIS;10;0;-3,9%;8;-1;-8,3%;19;-1;-5,9%
Gesamt;821;75;10,0%;880;67;8,2%;1.700;142;9,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;28;0;0,0%;33;-2;-4,6%;61;-2;-2,6%
40502-ASCHACH AN DER DONAU;14;0;0,6%;14;-3;-16,6%;28;-3;-9,0%
40503-EFERDING;35;9;36,8%;42;3;7,2%;77;12;18,8%
40504-FRAHAM;12;1;9,0%;14;4;36,4%;26;5;22,0%
40505-HAIBACH OB DER DONAU;5;-2;-30,8%;4;-3;-43,8%;8;-5;-37,3%
40506-HARTKIRCHEN;17;-1;-7,7%;19;0;1,8%;36;-1;-2,9%
40507-HINZENBACH;9;-1;-5,9%;12;-3;-19,8%;21;-3;-14,1%
40508-PRAMBACHKIRCHEN;16;1;6,8%;16;-2;-13,0%;31;-1;-4,1%
40509-PUPPING;11;5;82,4%;8;-4;-32,3%;19;2;8,7%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;11;1;6,5%;14;3;28,6%;25;4;17,6%
40511-SCHARTEN;9;-3;-25,7%;15;-3;-16,5%;24;-6;-20,1%
40512-STROHEIM;5;0;-4,6%;11;-2;-11,7%;17;-2;-9,6%
Gesamt;171;10;6,1%;200;-11;-5,4%;371;-2;-0,4%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;77;-10;-11,8%;78;-9;-10,3%;155;-19;-11,0%
40602-GRUENBACH;15;0;-2,8%;11;-1;-6,9%;26;-1;-4,6%
40603-GUTAU;16;-2;-9,5%;14;-2;-14,4%;30;-4;-11,9%
40604-HAGENBERG IM MUEHLKREIS;13;-3;-19,9%;12;-2;-17,0%;25;-6;-18,5%
40605-HIRSCHBACH IM MUEHLKREIS;5;0;-5,8%;4;0;10,3%;9;0;0,0%
40606-KALTENBERG;3;0;-5,7%;7;0;0,0%;10;0;-1,6%
40607-KEFERMARKT;12;-1;-8,2%;11;2;17,3%;23;1;2,2%
40608-KOENIGSWIESEN;20;-5;-21,1%;24;4;19,8%;44;-1;-2,9%
40609-LASBERG;16;-3;-16,1%;18;-1;-4,8%;34;-4;-10,4%
40610-LEOPOLDSCHLAG;7;1;11,4%;9;-1;-11,1%;16;0;-3,1%
40611-LIEBENAU;8;-5;-39,3%;11;2;18,9%;18;-3;-15,2%
40612-NEUMARKT IM MUEHLKREIS;19;-4;-16,6%;22;4;19,3%;41;0;-0,6%
40613-PIERBACH;6;2;38,8%;8;-1;-12,7%;14;0;3,1%
40614-PREGARTEN;24;-14;-36,2%;26;-3;-9,0%;50;-16;-24,3%
40615-RAINBACH IM MUEHLKREIS;22;-1;-5,5%;22;-2;-8,0%;44;-3;-6,8%
40616-SANDL;12;-2;-12,0%;14;-1;-6,9%;26;-3;-9,4%
40617-SANKT LEONHARD BEI FREISTADT;10;1;14,0%;6;-2;-24,2%;16;-1;-4,6%
40618-SANKT OSWALD BEI FREISTADT;23;-2;-7,2%;16;-2;-8,6%;39;-3;-7,8%
40619-SCHOENAU IM MUEHLKREIS;8;-1;-10,8%;9;1;11,3%;17;0;-0,5%
40620-TRAGWEIN;20;1;5,9%;20;5;30,6%;40;6;17,0%
40621-UNTERWEISZENBACH;13;-3;-19,0%;17;-2;-8,0%;30;-5;-13,1%
40622-UNTERWEITERSDORF;8;0;5,3%;10;1;10,0%;18;1;7,8%
40623-WALDBURG;9;3;57,4%;5;-2;-24,0%;14;2;14,7%
40624-WARTBERG OB DER AIST;22;-2;-9,6%;20;1;2,6%;42;-2;-4,2%
40625-WEITERSFELDEN;6;0;-6,3%;7;1;13,5%;13;0;3,2%
40626-WINDHAAG BEI FREISTADT;11;-1;-7,2%;23;4;18,6%;34;3;9,1%
40627-BAD ZELL;11;0;-2,1%;13;-2;-11,2%;25;-2;-7,2%
Gesamt;413;-52;-11,2%;437;-9;-2,0%;851;-61;-6,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;56;0;-0,1%;45;-6;-11,1%;101;-6;-5,3%
40702-BAD GOISERN;54;-18;-24,7%;51;-1;-1,9%;106;-19;-15,1%
40703-BAD ISCHL;116;-21;-15,1%;133;-12;-8,0%;249;-32;-11,4%
40704-EBENSEE;64;-6;-9,1%;90;4;4,8%;154;-2;-1,5%
40705-GMUNDEN;103;-15;-12,8%;130;8;6,1%;232;-8;-3,2%
40706-GOSAU;17;-2;-11,4%;16;2;11,2%;33;-1;-1,8%
40707-GRUENAU IM ALMTAL;16;2;11,8%;13;0;-3,0%;29;1;4,5%
40708-GSCHWANDT;13;-2;-13,6%;11;0;-2,8%;24;-2;-8,8%
40709-HALLSTATT;8;1;7,1%;21;8;60,5%;29;8;41,9%
40710-KIRCHHAM;10;-1;-12,2%;11;1;7,2%;21;-1;-3,0%
40711-LAAKIRCHEN;74;-8;-10,2%;73;1;1,9%;147;-7;-4,6%
40712-OBERTRAUN;4;-2;-35,4%;4;0;-3,8%;9;-3;-23,1%
40713-OHLSDORF;26;0;-1,6%;19;0;1,3%;45;0;-0,4%
40714-PINSDORF;33;0;-1,0%;24;-2;-6,8%;57;-2;-3,5%
40715-ROITHAM;11;-2;-17,4%;9;-1;-9,8%;20;-3;-14,1%
40716-SANKT KONRAD;7;1;17,1%;5;-3;-35,7%;12;-2;-13,7%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;32;-2;-5,9%;21;-1;-4,9%;53;-3;-5,5%
40718-TRAUNKIRCHEN;11;-4;-26,3%;9;-1;-7,3%;19;-5;-18,9%
40719-SCHARNSTEIN;32;-1;-2,0%;33;3;10,2%;66;2;3,8%
40720-VORCHDORF;50;-4;-7,5%;60;4;6,6%;111;0;-0,3%
Gesamt;737;-87;-10,6%;778;4;0,5%;1.515;-83;-5,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;5;0;-6,9%;6;-1;-10,8%;10;-1;-9,1%
40802-BAD SCHALLERBACH;21;-2;-8,4%;30;-1;-2,2%;51;-3;-4,9%
40803-BRUCK-WAASEN;11;1;9,2%;12;0;-0,7%;23;1;3,8%
40804-ESCHENAU IM HAUSRUCKKREIS;5;2;57,9%;6;0;1,4%;11;2;21,3%
40805-GALLSPACH;26;0;0,3%;33;-6;-14,9%;59;-6;-8,8%
40806-GASPOLTSHOFEN;13;-7;-33,2%;25;-3;-9,7%;38;-9;-19,5%
40807-GEBOLTSKIRCHEN;9;-2;-15,7%;12;2;19,7%;21;0;1,2%
40808-GRIESKIRCHEN;28;0;1,5%;48;-2;-4,3%;75;-2;-2,3%
40809-HAAG AM HAUSRUCK;15;-1;-6,1%;13;-4;-26,1%;28;-5;-16,3%
40810-HEILIGENBERG;3;1;40,7%;4;2;61,3%;7;3;51,7%
40811-HOFKIRCHEN AN DER TRATTNACH;7;0;-3,3%;10;-2;-13,9%;17;-2;-9,7%
40812-KALLHAM;12;2;14,3%;15;-2;-10,3%;27;0;-0,6%
40813-KEMATEN AM INNBACH;8;-1;-11,7%;8;-1;-11,7%;15;-2;-11,7%
40814-MEGGENHOFEN;7;-2;-23,8%;7;0;1,1%;14;-2;-12,4%
40815-MICHAELNBACH;6;0;-2,7%;6;0;-1,5%;12;0;-2,1%
40816-NATTERNBACH;17;0;1,5%;23;-1;-3,6%;39;-1;-1,5%
40817-NEUKIRCHEN AM WALDE;7;-1;-10,9%;17;-4;-19,4%;23;-5;-17,1%
40818-NEUMARKT IM HAUSRUCKKREIS;13;0;-0,6%;15;3;22,8%;29;3;10,7%
40819-PEUERBACH;14;0;-0,6%;19;3;21,1%;32;3;10,9%
40820-POETTING;1;-1;-70,8%;2;1;33,3%;3;-1;-26,2%
40821-POLLHAM;5;3;110,7%;5;0;-1,6%;10;3;32,6%
40822-PRAM;14;4;36,1%;12;0;-2,1%;25;3;15,3%
40823-ROTTENBACH;8;0;5,7%;5;-2;-34,1%;12;-2;-13,9%
40824-SANKT AGATHA;9;-4;-30,0%;9;-2;-19,0%;18;-6;-24,7%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;5;-1;-20,8%;3;-1;-25,0%;8;-2;-22,5%
40826-SANKT THOMAS;2;0;10,0%;1;-1;-48,1%;3;-1;-23,4%
40827-SCHLUESZLBERG;20;-3;-11,4%;17;-3;-15,7%;37;-6;-13,5%
40828-STEEGEN;4;-1;-22,4%;5;-2;-30,8%;8;-3;-27,2%
40829-TAUFKIRCHEN AN DER TRATTNACH;13;1;8,5%;10;-2;-14,7%;23;-1;-3,2%
40830-TOLLET;4;1;40,0%;3;1;52,0%;7;2;45,0%
40831-WAIZENKIRCHEN;19;4;26,8%;21;0;-1,5%;41;4;10,1%
40832-WALLERN AN DER TRATTNACH;20;2;12,5%;18;0;-0,9%;39;2;5,7%
40833-WEIBERN;7;2;36,7%;5;-2;-24,4%;12;0;1,4%
40834-WENDLING;3;0;10,0%;5;-1;-22,7%;8;-1;-13,3%
Gesamt;358;-3;-0,7%;427;-32;-7,0%;785;-35;-4,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;2;1;64,3%;2;0;-6,5%;4;1;15,6%
40902-GRUENBURG;30;-3;-10,0%;30;4;14,7%;60;1;0,8%
40903-HINTERSTODER;9;1;14,6%;6;2;57,1%;15;3;27,5%
40904-INZERSDORF IM KREMSTAL;9;2;33,7%;10;0;-1,7%;19;2;12,9%
40905-KIRCHDORF AN DER KREMS;39;-3;-7,7%;50;10;24,0%;89;6;7,8%
40906-KLAUS AN DER PYHRNBAHN;11;3;32,0%;8;1;20,7%;19;4;26,8%
40907-KREMSMUENSTER;39;-1;-1,9%;51;4;8,3%;91;3;3,6%
40908-MICHELDORF IN OBEROESTERREICH;52;0;0,5%;51;-4;-7,6%;103;-4;-3,7%
40909-MOLLN;25;4;20,2%;26;3;15,4%;51;8;17,7%
40910-NUSZBACH;13;0;-1,9%;13;0;1,3%;26;0;-0,3%
40911-OBERSCHLIERBACH;3;1;52,4%;3;0;-2,6%;6;1;16,9%
40912-PETTENBACH;39;1;3,1%;51;9;21,1%;90;10;12,5%
40913-RIED IM TRAUNKREIS;16;1;9,3%;19;0;0,0%;34;1;4,1%
40914-ROSENAU AM HENGSTPASZ;4;0;-7,7%;6;0;2,8%;10;0;-1,6%
40915-ROSZLEITHEN;16;3;23,2%;12;2;22,1%;27;5;22,7%
40916-SANKT PANKRAZ;2;1;154,5%;2;1;154,5%;5;3;154,5%
40917-SCHLIERBACH;22;1;4,0%;21;-1;-2,7%;43;0;0,6%
40918-SPITAL AM PYHRN;20;8;59,1%;17;1;3,6%;37;8;28,2%
40919-STEINBACH AM ZIEHBERG;3;-1;-27,5%;3;0;-10,3%;6;-2;-20,0%
40920-STEINBACH AN DER STEYR;13;-2;-12,1%;15;-1;-8,2%;28;-3;-10,1%
40921-VORDERSTODER;5;-1;-16,2%;4;0;10,9%;9;-1;-5,8%
40922-WARTBERG AN DER KREMS;19;3;15,2%;14;-6;-28,8%;33;-3;-9,1%
40923-WINDISCHGARSTEN;16;-4;-20,1%;19;0;-2,2%;35;-5;-11,3%
Gesamt;408;14;3,6%;432;25;6,1%;840;39;4,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.379;-141;-9,3%;1.836;-190;-9,4%;3.215;-331;-9,3%
41601-ALBERNDORF IN DER RIEDMARK;9;0;-4,3%;10;-1;-10,0%;19;-2;-7,3%
41602-ALTENBERG BEI LINZ;13;-3;-17,2%;14;1;6,8%;27;-2;-6,0%
41603-BAD LEONFELDEN;14;-2;-12,5%;16;1;10,1%;30;-1;-1,9%
41604-EIDENBERG;5;0;-4,7%;6;1;19,6%;11;1;6,7%
41605-ENGERWITZDORF;26;-3;-11,4%;22;-1;-3,0%;48;-4;-7,8%
41606-FELDKIRCHEN AN DER DONAU;17;-1;-7,8%;12;-7;-35,3%;29;-8;-21,7%
41607-GALLNEUKIRCHEN;27;-9;-24,6%;22;-7;-23,5%;48;-15;-24,2%
41608-GOLDWOERTH;2;-1;-30,0%;3;0;15,6%;5;0;-6,5%
41609-GRAMASTETTEN;10;-5;-32,2%;10;-3;-21,2%;20;-8;-27,2%
41610-HAIBACH IM MUEHLKREIS;2;1;40,0%;1;-1;-28,6%;3;0;0,0%
41611-HELLMONSOEDT;9;-2;-18,3%;8;0;-2,0%;17;-2;-11,2%
41612-HERZOGSDORF;7;-1;-7,3%;6;-2;-29,9%;13;-3;-18,7%
41613-KIRCHSCHLAG BEI LINZ;7;1;7,7%;6;2;38,2%;13;2;20,3%
41614-LICHTENBERG;7;1;26,2%;5;0;-6,2%;12;1;10,1%
41615-OBERNEUKIRCHEN;12;1;8,8%;11;-1;-5,8%;23;0;1,5%
41616-OTTENSCHLAG IM MUEHLKREIS;2;0;11,8%;1;-1;-53,8%;2;0;-16,7%
41617-OTTENSHEIM;18;-1;-7,2%;13;-4;-24,6%;31;-6;-15,2%
41618-PUCHENAU;23;7;41,7%;22;3;18,8%;44;10;29,5%
41619-REICHENAU IM MUEHLKREIS;8;-1;-10,8%;6;1;16,4%;14;0;-0,6%
41620-REICHENTHAL;6;-1;-13,8%;6;-1;-13,4%;12;-2;-13,6%
41621-SANKT GOTTHARD IM MUEHLKREIS;5;1;44,7%;6;0;-6,3%;11;1;10,3%
41622-SCHENKENFELDEN;6;1;21,1%;4;1;18,4%;10;2;20,0%
41623-SONNBERG IM MUEHLKREIS;2;0;-21,7%;2;0;10,5%;3;0;-7,1%
41624-STEYREGG;11;-6;-34,4%;24;1;2,9%;34;-5;-12,4%
41625-VORDERWEISZENBACH;7;1;25,8%;5;-1;-10,3%;12;1;6,9%
41626-WALDING;16;-3;-17,1%;9;-2;-16,4%;24;-5;-16,9%
41627-ZWETTL AN DER RODL;6;1;12,1%;8;0;-1,0%;14;1;4,3%
Gesamt;1.653;-166;-9,1%;2.091;-209;-9,1%;3.744;-375;-9,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;8;0;-1,1%;6;2;53,1%;14;2;17,4%
41102-ARBING;11;5;87,7%;9;-1;-5,4%;20;5;31,5%
41103-BAUMGARTENBERG;7;-1;-15,5%;8;0;-1,1%;15;-1;-8,3%
41104-DIMBACH;5;0;5,6%;7;-1;-13,8%;12;-1;-6,8%
41105-GREIN;27;6;27,8%;16;-6;-28,5%;42;0;-0,8%
41106-KATSDORF;15;2;14,9%;14;0;-2,9%;29;2;5,5%
41107-KLAM;7;0;3,7%;6;0;-5,6%;13;0;-0,7%
41108-BAD KREUZEN;9;-3;-27,6%;13;2;12,7%;22;-2;-7,7%
41109-LANGENSTEIN;17;-1;-7,9%;18;-2;-10,4%;35;-4;-9,2%
41110-LUFTENBERG AN DER DONAU;19;-4;-18,0%;20;0;-2,1%;38;-5;-10,5%
41111-MAUTHAUSEN;38;5;16,1%;41;-3;-7,4%;79;2;2,6%
41112-MITTERKIRCHEN IM MACHLAND;16;3;19,9%;12;3;41,4%;27;6;28,2%
41113-MUENZBACH;8;0;0,0%;10;-2;-16,2%;18;-2;-9,3%
41114-NAARN IM MACHLANDE;22;2;7,5%;22;-1;-5,4%;43;0;0,6%
41115-PABNEUKIRCHEN;7;3;70,0%;9;-1;-8,8%;16;2;15,3%
41116-PERG;54;-2;-3,1%;62;-12;-16,6%;116;-14;-10,8%
41117-RECHBERG;7;3;81,8%;4;1;13,3%;11;4;47,2%
41118-RIED IN DER RIEDMARK;27;6;27,0%;23;4;24,3%;50;10;25,7%
41119-SANKT GEORGEN AM WALDE;9;-1;-11,7%;13;0;1,3%;22;-1;-4,7%
41120-SANKT GEORGEN AN DER GUSEN;20;-2;-7,5%;20;-11;-34,9%;39;-12;-23,5%
41121-SANKT NIKOLA AN DER DONAU;8;2;40,3%;9;-3;-22,6%;17;-1;-2,8%
41122-SANKT THOMAS AM BLASENSTEIN;4;1;56,7%;5;0;-6,8%;9;1;14,6%
41123-SAXEN;15;4;42,1%;7;-2;-20,2%;22;3;13,2%
41124-SCHWERTBERG;43;2;4,2%;46;0;0,4%;89;2;2,2%
41125-WALDHAUSEN IM STRUDENGAU;22;0;0,4%;21;-1;-3,1%;43;-1;-1,3%
41126-WINDHAAG BEI PERG;5;-2;-27,8%;8;-4;-30,3%;14;-6;-29,3%
Gesamt;428;28;6,9%;427;-37;-8,0%;855;-9;-1,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;7;0;0,0%;5;-1;-9,0%;12;-1;-3,9%
41202-ANTIESENHOFEN;15;1;9,4%;17;1;3,6%;31;2;6,2%
41203-AUROLZMUENSTER;21;-6;-20,8%;27;-1;-5,1%;48;-7;-12,7%
41204-EBERSCHWANG;14;-6;-29,4%;26;1;2,3%;39;-5;-11,5%
41205-EITZING;3;-1;-19,1%;7;2;27,7%;10;1;8,0%
41206-GEIERSBERG;3;-2;-38,5%;4;0;2,2%;7;-2;-19,6%
41207-GEINBERG;12;0;0,0%;13;1;3,9%;25;1;2,0%
41208-GURTEN;11;0;-2,2%;10;0;0,8%;21;0;-0,8%
41209-HOHENZELL;7;0;-4,8%;12;-1;-7,8%;18;-1;-6,8%
41210-KIRCHDORF AM INN;4;-1;-10,9%;3;0;9,1%;7;0;-3,4%
41211-KIRCHHEIM IM INNKREIS;3;-1;-25,9%;6;0;6,2%;9;-1;-8,4%
41212-LAMBRECHTEN;8;-2;-17,4%;9;-2;-20,8%;17;-4;-19,2%
41213-LOHNSBURG AM KOBERNAUSZERWALD;15;0;-1,1%;15;-2;-11,7%;30;-2;-6,5%
41214-MEHRNBACH;17;0;2,6%;17;0;1,5%;33;1;2,0%
41215-METTMACH;17;0;2,5%;18;0;-1,4%;35;0;0,5%
41216-MOERSCHWANG;1;1;183,3%;1;0;0,0%;3;1;57,9%
41217-MUEHLHEIM AM INN;4;1;25,0%;2;0;-6,5%;6;1;10,4%
41218-NEUHOFEN IM INNKREIS;16;4;33,6%;14;3;30,4%;29;7;32,1%
41219-OBERNBERG AM INN;18;-2;-8,7%;24;-3;-11,0%;42;-5;-10,0%
