;Arbeitslosigkeit;;;;;;;;
40445-UEBERACKERN;4;1;35,1%;2;0;38,5%;6;2;36,0%
40446-WENG IM INNKREIS;13;-5;-29,5%;10;-7;-40,7%;23;-13;-35,0%
Gesamt;1.035;-234;-18,4%;1.219;-360;-22,8%;2.254;-593;-20,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;42;2;5,3%;45;2;4,4%;87;4;4,8%
40502-ASCHACH AN DER DONAU;16;-1;-3,0%;31;1;3,9%;47;1;1,4%
40503-EFERDING;36;1;3,8%;55;-2;-3,7%;91;-1;-0,8%
40504-FRAHAM;15;-2;-13,2%;20;1;7,0%;35;-1;-2,5%
40505-HAIBACH OB DER DONAU;8;1;12,2%;11;2;15,8%;19;2;14,3%
40506-HARTKIRCHEN;17;-7;-29,6%;34;4;13,8%;52;-3;-5,8%
40507-HINZENBACH;15;1;7,1%;18;2;13,3%;33;3;10,4%
40508-PRAMBACHKIRCHEN;15;1;4,2%;26;1;5,0%;41;2;4,7%
40509-PUPPING;10;-1;-7,0%;13;2;19,4%;23;1;6,2%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;12;0;0,7%;18;0;0,9%;30;0;0,8%
40511-SCHARTEN;15;1;3,5%;24;1;3,3%;39;1;3,4%
40512-STROHEIM;8;0;1,1%;17;3;18,8%;25;3;12,8%
Gesamt;208;-4;-2,0%;313;17;5,8%;521;13;2,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;83;0;-0,3%;103;1;0,6%;186;0;0,2%
40602-GRUENBACH;12;-3;-21,2%;19;4;24,4%;31;0;1,1%
40603-GUTAU;18;-1;-7,1%;22;2;7,6%;40;0;0,6%
40604-HAGENBERG IM MUEHLKREIS;19;5;33,9%;21;6;36,4%;40;11;35,2%
40605-HIRSCHBACH IM MUEHLKREIS;5;-2;-31,8%;9;3;41,3%;14;0;2,5%
40606-KALTENBERG;3;1;65,2%;9;2;32,1%;12;3;39,6%
40607-KEFERMARKT;13;0;-0,6%;14;2;11,6%;27;1;5,5%
40608-KOENIGSWIESEN;17;-1;-2,9%;31;1;2,2%;48;0;0,4%
40609-LASBERG;18;5;41,6%;25;1;6,1%;42;7;18,5%
40610-LEOPOLDSCHLAG;6;-2;-23,9%;18;3;18,2%;24;1;4,3%
40611-LIEBENAU;9;1;11,8%;15;1;9,6%;24;2;10,4%
40612-NEUMARKT IM MUEHLKREIS;20;-2;-9,6%;30;5;19,9%;50;3;6,2%
40613-PIERBACH;6;-2;-25,3%;11;-1;-4,9%;17;-3;-12,8%
40614-PREGARTEN;32;1;1,6%;47;8;19,0%;79;8;11,3%
40615-RAINBACH IM MUEHLKREIS;21;2;12,6%;28;-4;-12,5%;49;-2;-3,3%
40616-SANDL;14;2;17,7%;18;2;10,8%;32;4;13,7%
40617-SANKT LEONHARD BEI FREISTADT;7;-4;-36,2%;9;0;-3,6%;16;-4;-21,0%
40618-SANKT OSWALD BEI FREISTADT;26;2;6,1%;20;-3;-10,9%;46;-1;-2,1%
40619-SCHOENAU IM MUEHLKREIS;7;-1;-15,6%;16;5;46,2%;23;4;20,2%
40620-TRAGWEIN;20;0;-1,6%;23;-7;-22,4%;43;-7;-13,8%
40621-UNTERWEISZENBACH;14;-2;-11,6%;22;1;2,3%;36;-1;-3,5%
40622-UNTERWEITERSDORF;9;2;24,2%;17;5;46,8%;26;7;37,8%
40623-WALDBURG;6;-2;-21,3%;10;2;21,4%;17;0;1,0%
40624-WARTBERG OB DER AIST;26;-2;-6,5%;24;-1;-4,6%;51;-3;-5,6%
40625-WEITERSFELDEN;8;1;18,8%;10;0;-4,2%;18;1;5,0%
40626-WINDHAAG BEI FREISTADT;8;-6;-41,4%;22;-2;-9,6%;30;-8;-20,9%
40627-BAD ZELL;14;3;33,3%;21;-1;-2,7%;35;3;8,9%
Gesamt;439;-5;-1,1%;614;32;5,6%;1.053;28;2,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;64;-3;-5,1%;76;8;12,0%;139;5;3,5%
40702-BAD GOISERN;56;4;7,0%;55;-20;-27,1%;111;-17;-13,0%
40703-BAD ISCHL;118;-7;-5,5%;158;-18;-10,2%;276;-25;-8,2%
40704-EBENSEE;65;-6;-8,1%;105;-20;-15,8%;169;-25;-13,0%
40705-GMUNDEN;135;-18;-11,9%;184;-20;-9,8%;318;-38;-10,7%
40706-GOSAU;20;0;0,4%;14;-2;-15,2%;33;-2;-6,6%
40707-GRUENAU IM ALMTAL;16;1;10,0%;25;5;27,8%;41;7;20,3%
40708-GSCHWANDT;18;-1;-6,8%;18;-1;-5,0%;36;-2;-5,9%
40709-HALLSTATT;9;0;1,8%;8;-9;-53,5%;17;-9;-34,0%
40710-KIRCHHAM;11;-5;-31,5%;15;-4;-22,6%;26;-9;-26,7%
40711-LAAKIRCHEN;84;-15;-15,3%;120;-7;-5,5%;203;-22;-9,8%
40712-OBERTRAUN;5;1;26,7%;5;0;7,7%;9;1;16,5%
40713-OHLSDORF;39;9;29,7%;40;3;8,4%;78;12;17,9%
40714-PINSDORF;28;-8;-22,7%;46;4;9,0%;74;-4;-5,4%
40715-ROITHAM;10;-3;-24,2%;11;-3;-24,1%;21;-7;-24,2%
40716-SANKT KONRAD;4;-3;-44,7%;10;1;8,5%;14;-2;-15,2%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;33;1;3,2%;25;-2;-6,8%;58;-1;-1,4%
40718-TRAUNKIRCHEN;15;-1;-6,1%;17;1;4,7%;32;0;-0,8%
40719-SCHARNSTEIN;40;4;10,6%;55;-1;-1,5%;95;3;3,3%
40720-VORCHDORF;62;-9;-12,9%;97;-6;-5,6%;159;-15;-8,6%
Gesamt;830;-60;-6,8%;1.078;-91;-7,8%;1.908;-151;-7,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;6;-1;-16,3%;10;1;14,3%;16;0;1,1%
40802-BAD SCHALLERBACH;31;5;17,0%;48;-6;-10,4%;79;-1;-1,4%
40803-BRUCK-WAASEN;10;-3;-20,5%;20;-2;-8,6%;31;-5;-13,0%
40804-ESCHENAU IM HAUSRUCKKREIS;5;-3;-35,3%;12;2;22,1%;17;0;-1,4%
40805-GALLSPACH;29;1;5,1%;49;0;-0,5%;78;1;1,5%
40806-GASPOLTSHOFEN;22;-4;-14,4%;34;-3;-8,5%;56;-7;-10,9%
40807-GEBOLTSKIRCHEN;12;2;24,1%;17;-2;-11,9%;29;0;-0,3%
40808-GRIESKIRCHEN;41;5;13,3%;66;-8;-10,7%;107;-3;-2,8%
40809-HAAG AM HAUSRUCK;19;1;6,6%;23;7;42,3%;42;8;23,8%
40810-HEILIGENBERG;2;0;-4,5%;6;1;20,0%;7;1;13,0%
40811-HOFKIRCHEN AN DER TRATTNACH;11;-1;-8,6%;14;2;14,2%;25;1;3,1%
40812-KALLHAM;18;5;38,6%;25;-6;-18,3%;43;-1;-1,5%
40813-KEMATEN AM INNBACH;14;-1;-4,7%;12;0;-3,5%;25;-1;-4,1%
40814-MEGGENHOFEN;8;1;17,6%;13;3;32,0%;22;5;26,1%
40815-MICHAELNBACH;3;-2;-41,7%;9;-2;-17,4%;12;-4;-25,0%
40816-NATTERNBACH;15;0;-1,7%;30;-2;-5,0%;45;-2;-3,9%
40817-NEUKIRCHEN AM WALDE;8;1;15,5%;27;7;32,8%;35;8;28,4%
40818-NEUMARKT IM HAUSRUCKKREIS;16;-1;-6,4%;22;-3;-10,4%;37;-4;-8,8%
40819-PEUERBACH;12;-2;-11,5%;25;-6;-19,6%;37;-8;-17,2%
40820-POETTING;2;1;133,3%;2;-1;-21,6%;4;0;8,7%
40821-POLLHAM;5;1;12,2%;6;-4;-37,3%;11;-3;-22,8%
40822-PRAM;18;4;31,5%;21;0;-0,4%;39;4;12,3%
40823-ROTTENBACH;6;-3;-31,7%;9;3;44,0%;15;0;0,6%
40824-SANKT AGATHA;10;-5;-34,5%;19;5;31,1%;29;-1;-1,7%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;7;1;9,5%;4;-3;-41,2%;11;-2;-17,6%
40826-SANKT THOMAS;1;-1;-44,8%;3;0;-3,0%;4;-1;-22,6%
40827-SCHLUESZLBERG;30;1;2,8%;32;2;4,9%;62;2;3,9%
40828-STEEGEN;4;0;8,9%;8;1;11,6%;12;1;10,7%
40829-TAUFKIRCHEN AN DER TRATTNACH;14;3;24,8%;17;-1;-5,6%;31;2;6,3%
40830-TOLLET;4;0;-2,1%;6;1;10,0%;10;1;5,1%
40831-WAIZENKIRCHEN;24;0;0,7%;30;-6;-16,7%;54;-6;-9,7%
40832-WALLERN AN DER TRATTNACH;20;1;6,4%;21;-1;-4,3%;40;0;0,6%
40833-WEIBERN;9;-2;-20,8%;13;2;21,1%;22;0;0,0%
40834-WENDLING;6;0;1,4%;9;1;17,4%;15;1;10,4%
Gesamt;438;5;1,2%;662;-18;-2,7%;1.099;-13;-1,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;3;2;81,8%;4;0;-9,6%;7;1;17,6%
40902-GRUENBURG;35;-5;-11,8%;50;-4;-7,3%;85;-9;-9,2%
40903-HINTERSTODER;7;-1;-11,1%;7;-2;-24,3%;14;-3;-17,8%
40904-INZERSDORF IM KREMSTAL;9;-4;-29,8%;19;0;-0,4%;28;-4;-12,0%
40905-KIRCHDORF AN DER KREMS;39;-6;-12,4%;62;-4;-5,6%;101;-9;-8,3%
40906-KLAUS AN DER PYHRNBAHN;10;-3;-21,4%;12;-3;-21,4%;22;-6;-21,4%
40907-KREMSMUENSTER;52;8;17,4%;82;-3;-3,8%;134;5;3,5%
40908-MICHELDORF IN OBEROESTERREICH;56;-4;-7,3%;81;-2;-2,6%;137;-7;-4,6%
40909-MOLLN;26;-6;-18,5%;28;-7;-20,3%;55;-13;-19,5%
40910-NUSZBACH;14;-5;-25,0%;19;1;4,5%;33;-4;-10,1%
40911-OBERSCHLIERBACH;3;1;20,7%;4;0;-4,3%;7;0;5,3%
40912-PETTENBACH;43;-5;-10,0%;59;-3;-4,6%;101;-8;-7,0%
40913-RIED IM TRAUNKREIS;18;2;11,9%;29;-4;-12,1%;47;-2;-4,2%
40914-ROSENAU AM HENGSTPASZ;7;1;27,0%;8;-2;-22,0%;15;-1;-5,4%
40915-ROSZLEITHEN;16;-1;-3,9%;19;-2;-10,4%;35;-3;-7,5%
40916-SANKT PANKRAZ;5;1;31,7%;4;0;4,2%;9;1;16,9%
40917-SCHLIERBACH;21;-2;-9,2%;28;1;2,7%;49;-1;-2,7%
40918-SPITAL AM PYHRN;16;-2;-11,7%;26;1;2,7%;42;-2;-3,4%
40919-STEINBACH AM ZIEHBERG;6;2;55,3%;7;1;11,3%;14;3;27,6%
40920-STEINBACH AN DER STEYR;15;2;15,7%;21;-3;-11,8%;37;-1;-2,0%
40921-VORDERSTODER;7;-1;-12,2%;8;3;60,7%;14;2;15,8%
40922-WARTBERG AN DER KREMS;20;-5;-19,5%;28;1;4,0%;49;-4;-7,3%
40923-WINDISCHGARSTEN;19;-6;-23,4%;21;-8;-27,4%;40;-14;-25,5%
Gesamt;446;-35;-7,3%;626;-41;-6,2%;1.072;-77;-6,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.750;148;9,2%;2.712;-7;-0,3%;4.462;140;3,2%
41601-ALBERNDORF IN DER RIEDMARK;15;4;31,6%;13;1;4,7%;28;4;17,4%
41602-ALTENBERG BEI LINZ;16;-1;-7,5%;23;1;3,0%;39;-1;-1,7%
41603-BAD LEONFELDEN;17;3;24,1%;22;3;15,7%;39;6;19,2%
41604-EIDENBERG;8;3;67,9%;9;5;91,5%;17;8;80,0%
41605-ENGERWITZDORF;29;4;15,4%;40;2;4,3%;69;5;8,7%
41606-FELDKIRCHEN AN DER DONAU;25;4;16,9%;20;-1;-5,1%;45;3;6,0%
41607-GALLNEUKIRCHEN;28;0;-1,5%;42;4;9,8%;70;3;5,0%
41608-GOLDWOERTH;3;1;50,0%;7;2;36,2%;9;3;40,0%
41609-GRAMASTETTEN;17;5;46,3%;20;4;26,5%;36;9;34,9%
41610-HAIBACH IM MUEHLKREIS;3;1;82,4%;4;2;66,7%;6;3;72,7%
41611-HELLMONSOEDT;14;3;27,1%;12;-1;-9,4%;26;2;7,2%
41612-HERZOGSDORF;10;4;59,7%;13;1;12,6%;23;5;29,7%
41613-KIRCHSCHLAG BEI LINZ;9;2;23,1%;9;-1;-8,2%;19;1;5,2%
41614-LICHTENBERG;10;4;62,0%;8;0;-4,2%;17;3;24,0%
41615-OBERNEUKIRCHEN;13;0;3,3%;17;0;0,0%;30;0;1,4%
41616-OTTENSCHLAG IM MUEHLKREIS;1;1;112,5%;1;0;-25,0%;2;1;30,0%
41617-OTTENSHEIM;24;5;25,0%;22;0;0,8%;45;5;12,1%
41618-PUCHENAU;19;0;2,3%;20;-2;-7,8%;39;-1;-3,1%
41619-REICHENAU IM MUEHLKREIS;9;2;31,3%;9;1;15,4%;18;3;22,8%
41620-REICHENTHAL;6;-1;-9,3%;8;1;17,6%;14;1;5,0%
41621-SANKT GOTTHARD IM MUEHLKREIS;7;4;104,7%;8;-1;-8,8%;15;3;24,8%
41622-SCHENKENFELDEN;4;1;25,0%;5;-1;-19,7%;9;-1;-5,4%
41623-SONNBERG IM MUEHLKREIS;2;0;-17,2%;2;-2;-50,0%;4;-2;-37,7%
41624-STEYREGG;23;4;18,2%;35;-2;-4,5%;58;2;3,3%
41625-VORDERWEISZENBACH;7;-1;-12,4%;9;2;25,6%;17;1;5,9%
41626-WALDING;17;1;6,1%;17;5;40,8%;35;6;21,0%
41627-ZWETTL AN DER RODL;10;1;10,2%;13;0;0,0%;22;1;4,3%
Gesamt;2.094;199;10,5%;3.119;13;0,4%;5.213;212;4,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;8;1;12,8%;10;1;12,5%;18;2;12,6%
41102-ARBING;13;2;21,4%;14;-2;-10,1%;27;1;2,5%
41103-BAUMGARTENBERG;9;1;7,8%;13;-2;-12,3%;22;-1;-5,0%
41104-DIMBACH;6;2;46,7%;12;-1;-4,0%;18;1;7,7%
41105-GREIN;25;1;3,4%;28;-3;-9,4%;53;-2;-3,8%
41106-KATSDORF;18;2;15,5%;23;4;21,0%;41;6;18,5%
41107-KLAM;8;0;3,2%;9;0;2,9%;17;1;3,0%
41108-BAD KREUZEN;11;1;6,3%;19;-2;-8,5%;30;-1;-3,5%
41109-LANGENSTEIN;17;0;-1,0%;28;-3;-8,4%;45;-3;-5,7%
41110-LUFTENBERG AN DER DONAU;26;-2;-7,4%;30;-1;-3,5%;56;-3;-5,3%
41111-MAUTHAUSEN;49;-2;-2,9%;60;-14;-18,6%;109;-15;-12,2%
41112-MITTERKIRCHEN IM MACHLAND;12;-3;-19,5%;12;-2;-14,8%;24;-5;-17,3%
41113-MUENZBACH;13;4;41,6%;11;-5;-29,5%;25;-1;-3,0%
41114-NAARN IM MACHLANDE;29;0;1,5%;37;-1;-2,4%;65;-1;-0,8%
41115-PABNEUKIRCHEN;7;-4;-33,1%;13;1;4,0%;20;-3;-13,3%
41116-PERG;75;14;22,0%;96;-1;-1,4%;171;12;7,7%
41117-RECHBERG;6;3;74,4%;9;1;8,2%;15;3;28,6%
41118-RIED IN DER RIEDMARK;31;3;11,3%;42;-1;-2,0%;73;2;3,3%
41119-SANKT GEORGEN AM WALDE;11;-1;-6,9%;18;1;4,8%;29;0;0,0%
41120-SANKT GEORGEN AN DER GUSEN;20;-7;-24,5%;29;-3;-9,5%;50;-10;-16,2%
41121-SANKT NIKOLA AN DER DONAU;11;2;19,8%;11;-2;-15,4%;22;0;-1,1%
41122-SANKT THOMAS AM BLASENSTEIN;3;-1;-21,4%;6;0;-2,7%;9;-1;-9,5%
41123-SAXEN;9;-1;-13,4%;15;2;15,7%;25;1;2,8%
41124-SCHWERTBERG;57;9;18,9%;68;-13;-16,5%;125;-4;-3,4%
41125-WALDHAUSEN IM STRUDENGAU;22;-3;-11,8%;35;-3;-7,9%;57;-6;-9,5%
41126-WINDHAAG BEI PERG;7;0;5,3%;16;1;4,5%;22;1;4,7%
Gesamt;504;22;4,5%;663;-48;-6,8%;1.167;-27;-2,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;5;-1;-15,5%;6;0;-4,3%;11;-1;-9,9%
41202-ANTIESENHOFEN;15;-8;-33,2%;22;3;17,0%;38;-4;-10,2%
41203-AUROLZMUENSTER;26;2;8,9%;36;-8;-17,8%;63;-6;-8,3%
41204-EBERSCHWANG;24;2;9,5%;40;-5;-10,6%;64;-3;-4,0%
41205-EITZING;7;2;46,6%;10;0;0,0%;17;2;15,6%
41206-GEIERSBERG;3;0;-4,9%;5;0;7,4%;8;0;2,1%
41207-GEINBERG;13;0;0,7%;15;0;-2,7%;28;0;-1,2%
41208-GURTEN;11;-4;-25,8%;18;-3;-12,6%;29;-6;-18,1%
41209-HOHENZELL;8;-1;-11,6%;20;-3;-11,6%;28;-4;-11,6%
41210-KIRCHDORF AM INN;5;0;1,7%;3;-1;-18,0%;8;-1;-7,3%
41211-KIRCHHEIM IM INNKREIS;5;1;25,0%;6;-2;-24,5%;11;-1;-8,7%
41212-LAMBRECHTEN;12;2;17,6%;18;3;24,3%;29;5;21,5%
41213-LOHNSBURG AM KOBERNAUSZERWALD;15;-2;-11,5%;27;4;16,9%;42;2;4,7%
41214-MEHRNBACH;20;1;5,2%;26;-8;-22,9%;46;-7;-12,7%
41215-METTMACH;15;-8;-35,9%;22;-10;-30,9%;37;-18;-33,0%
41216-MOERSCHWANG;1;0;-41,7%;1;-1;-40,0%;2;-1;-40,5%
41217-MUEHLHEIM AM INN;4;0;9,5%;4;0;10,0%;8;1;9,8%
