;Arbeitslosigkeit;;;;;;;;
40602-GRUENBACH;16;1;8,0%;15;4;34,3%;31;5;19,4%
40603-GUTAU;19;3;18,9%;21;6;43,9%;40;9;30,9%
40604-HAGENBERG IM MUEHLKREIS;15;2;13,7%;15;4;29,6%;30;5;21,4%
40605-HIRSCHBACH IM MUEHLKREIS;7;2;30,8%;6;3;74,4%;13;4;48,1%
40606-KALTENBERG;2;-1;-30,3%;7;-1;-12,4%;8;-2;-17,2%
40607-KEFERMARKT;13;1;6,2%;13;2;20,2%;26;3;12,8%
40608-KOENIGSWIESEN;18;-3;-12,5%;30;6;23,0%;47;3;7,0%
40609-LASBERG;12;-3;-20,7%;23;5;26,5%;36;2;4,7%
40610-LEOPOLDSCHLAG;8;1;17,9%;16;6;67,0%;23;7;46,8%
40611-LIEBENAU;8;0;2,2%;14;3;31,7%;22;4;19,4%
40612-NEUMARKT IM MUEHLKREIS;22;3;13,0%;25;3;13,2%;47;5;13,1%
40613-PIERBACH;8;2;33,8%;12;4;49,0%;20;6;42,7%
40614-PREGARTEN;31;7;31,2%;40;13;50,5%;71;21;41,3%
40615-RAINBACH IM MUEHLKREIS;19;-3;-13,6%;32;10;45,1%;51;7;16,1%
40616-SANDL;12;0;-3,4%;16;3;20,4%;28;2;9,1%
40617-SANKT LEONHARD BEI FREISTADT;11;1;11,4%;9;3;54,2%;20;4;28,0%
40618-SANKT OSWALD BEI FREISTADT;24;2;7,7%;23;7;43,5%;47;9;22,5%
40619-SCHOENAU IM MUEHLKREIS;8;0;-3,0%;11;2;22,2%;19;2;10,1%
40620-TRAGWEIN;21;1;5,1%;29;9;45,6%;50;10;25,5%
40621-UNTERWEISZENBACH;16;3;20,3%;22;5;26,1%;38;7;23,6%
40622-UNTERWEITERSDORF;8;-1;-8,1%;12;2;14,9%;19;1;4,5%
40623-WALDBURG;8;-1;-12,1%;9;4;80,7%;16;3;20,1%
40624-WARTBERG OB DER AIST;28;6;27,8%;26;6;29,7%;54;12;28,7%
40625-WEITERSFELDEN;7;0;6,7%;10;3;42,9%;17;3;25,8%
40626-WINDHAAG BEI FREISTADT;14;3;26,6%;24;1;4,3%;38;4;11,2%
40627-BAD ZELL;10;-1;-10,2%;22;8;63,3%;32;7;29,2%
Gesamt;444;30;7,3%;581;144;32,9%;1.025;174;20,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;67;11;19,6%;67;23;51,5%;135;34;33,7%
40702-BAD GOISERN;53;-2;-3,2%;75;24;46,1%;127;22;20,7%
40703-BAD ISCHL;125;9;7,4%;175;43;32,1%;301;51;20,6%
40704-EBENSEE;70;6;9,2%;124;35;38,8%;195;41;26,4%
40705-GMUNDEN;153;50;48,9%;203;74;56,9%;356;124;53,4%
40706-GOSAU;20;3;15,3%;16;0;1,6%;35;3;8,7%
40707-GRUENAU IM ALMTAL;14;-2;-10,5%;20;6;47,2%;34;5;15,8%
40708-GSCHWANDT;20;7;55,9%;19;7;62,0%;38;14;58,8%
40709-HALLSTATT;9;2;21,1%;17;-4;-20,6%;26;-3;-9,6%
40710-KIRCHHAM;16;6;61,5%;19;8;68,7%;35;14;65,2%
40711-LAAKIRCHEN;99;25;33,5%;127;54;74,0%;225;79;53,6%
40712-OBERTRAUN;4;-1;-15,1%;4;0;4,0%;8;-1;-5,8%
40713-OHLSDORF;30;4;15,9%;37;18;90,9%;67;22;48,1%
40714-PINSDORF;36;3;7,8%;43;19;78,3%;78;21;37,3%
40715-ROITHAM;13;2;18,0%;14;5;53,2%;27;7;34,0%
40716-SANKT KONRAD;7;0;3,7%;9;4;68,3%;16;4;31,7%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;32;-1;-1,6%;27;6;27,2%;58;5;9,9%
40718-TRAUNKIRCHEN;16;6;52,7%;16;7;86,3%;32;13;67,5%
40719-SCHARNSTEIN;36;4;11,3%;55;22;67,1%;92;26;39,5%
40720-VORCHDORF;72;21;42,4%;103;42;70,4%;174;64;57,6%
Gesamt;890;153;20,7%;1.169;391;50,3%;2.059;544;35,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;7;2;48,1%;9;3;59,1%;15;5;54,2%
40802-BAD SCHALLERBACH;26;5;25,8%;54;24;80,6%;80;29;57,9%
40803-BRUCK-WAASEN;13;2;20,0%;22;10;82,2%;35;12;52,9%
40804-ESCHENAU IM HAUSRUCKKREIS;7;2;41,7%;10;4;71,8%;17;6;58,0%
40805-GALLSPACH;28;2;6,3%;49;16;48,7%;77;18;29,9%
40806-GASPOLTSHOFEN;25;12;91,8%;37;12;49,8%;63;25;64,4%
40807-GEBOLTSKIRCHEN;9;0;4,7%;20;8;68,6%;29;8;40,9%
40808-GRIESKIRCHEN;36;9;32,0%;74;26;54,3%;110;35;46,1%
40809-HAAG AM HAUSRUCK;18;2;14,1%;16;4;30,7%;34;6;21,5%
40810-HEILIGENBERG;2;-1;-42,1%;5;0;10,0%;6;-1;-12,5%
40811-HOFKIRCHEN AN DER TRATTNACH;12;4;60,9%;12;3;25,4%;24;7;40,5%
40812-KALLHAM;13;1;6,3%;31;16;110,9%;43;17;63,5%
40813-KEMATEN AM INNBACH;14;7;87,9%;12;4;57,1%;26;11;72,5%
40814-MEGGENHOFEN;7;0;6,2%;10;3;37,1%;17;3;22,5%
40815-MICHAELNBACH;5;-1;-15,5%;11;5;97,0%;16;5;39,1%
40816-NATTERNBACH;15;-2;-9,0%;32;9;40,7%;47;8;19,6%
40817-NEUKIRCHEN AM WALDE;7;0;2,4%;20;4;22,6%;27;4;16,7%
40818-NEUMARKT IM HAUSRUCKKREIS;17;4;27,0%;24;9;57,9%;41;12;43,6%
40819-PEUERBACH;13;-1;-4,9%;31;12;66,5%;44;12;36,3%
40820-POETTING;1;0;28,6%;3;1;54,2%;4;1;48,4%
40821-POLLHAM;4;-1;-16,9%;10;5;87,3%;14;4;36,9%
40822-PRAM;14;0;1,9%;21;9;77,9%;35;9;37,1%
40823-ROTTENBACH;8;1;8,6%;6;2;33,9%;15;2;18,1%
40824-SANKT AGATHA;15;6;68,6%;15;6;59,5%;30;12;63,9%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;6;1;21,3%;7;4;117,9%;13;5;59,0%
40826-SANKT THOMAS;2;1;31,8%;3;2;135,7%;5;2;72,2%
40827-SCHLUESZLBERG;29;10;50,4%;31;13;75,6%;60;23;62,3%
40828-STEEGEN;4;0;0,0%;7;3;59,3%;11;3;32,3%
40829-TAUFKIRCHEN AN DER TRATTNACH;11;-1;-11,0%;18;8;74,6%;29;6;26,8%
40830-TOLLET;4;0;-4,1%;6;3;84,2%;10;3;34,5%
40831-WAIZENKIRCHEN;24;5;23,3%;36;14;65,8%;59;19;45,6%
40832-WALLERN AN DER TRATTNACH;18;-2;-9,5%;22;3;17,8%;40;1;3,5%
40833-WEIBERN;11;4;58,5%;11;6;106,5%;22;10;79,2%
40834-WENDLING;6;3;115,2%;8;3;58,6%;14;6;79,1%
Gesamt;432;74;20,8%;680;253;59,2%;1.112;327;41,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;2;0;-4,3%;4;2;79,3%;6;2;42,3%
40902-GRUENBURG;40;10;31,5%;54;24;79,3%;93;33;55,3%
40903-HINTERSTODER;8;-1;-10,0%;9;3;56,1%;17;2;14,8%
40904-INZERSDORF IM KREMSTAL;13;3;36,0%;19;10;98,3%;32;13;68,0%
40905-KIRCHDORF AN DER KREMS;44;6;14,2%;66;16;31,7%;110;21;24,0%
40906-KLAUS AN DER PYHRNBAHN;12;1;13,3%;16;7;88,9%;28;9;46,3%
40907-KREMSMUENSTER;45;5;13,6%;85;34;65,8%;130;39;43,1%
40908-MICHELDORF IN OBEROESTERREICH;61;8;15,6%;83;32;63,8%;144;41;39,3%
40909-MOLLN;32;7;28,0%;35;10;37,8%;68;17;32,9%
40910-NUSZBACH;18;5;42,1%;18;5;41,7%;36;11;41,9%
40911-OBERSCHLIERBACH;2;0;-9,4%;4;1;24,3%;6;1;8,7%
40912-PETTENBACH;47;8;20,8%;62;11;21,3%;109;19;21,1%
40913-RIED IM TRAUNKREIS;16;1;3,2%;33;15;78,0%;49;15;43,8%
40914-ROSENAU AM HENGSTPASZ;5;1;31,3%;10;4;68,5%;16;5;53,7%
40915-ROSZLEITHEN;17;2;10,2%;21;9;80,4%;38;11;40,1%
40916-SANKT PANKRAZ;3;1;46,4%;4;2;71,4%;7;3;58,9%
40917-SCHLIERBACH;23;1;3,4%;27;6;28,5%;50;7;15,8%
40918-SPITAL AM PYHRN;19;-2;-9,4%;25;8;49,3%;44;6;17,0%
40919-STEINBACH AM ZIEHBERG;4;1;27,0%;7;4;128,6%;11;5;76,4%
40920-STEINBACH AN DER STEYR;13;0;-0,6%;24;9;62,4%;37;9;32,5%
40921-VORDERSTODER;8;2;45,2%;5;0;9,8%;12;3;29,2%
40922-WARTBERG AN DER KREMS;25;6;33,5%;27;13;89,0%;53;19;57,5%
40923-WINDISCHGARSTEN;24;8;49,2%;29;10;54,6%;54;18;52,1%
Gesamt;482;73;18,0%;667;235;54,3%;1.148;308;36,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.602;223;16,2%;2.720;884;48,2%;4.322;1.107;34,4%
41601-ALBERNDORF IN DER RIEDMARK;11;2;19,8%;12;3;26,5%;23;4;23,2%
41602-ALTENBERG BEI LINZ;18;5;37,7%;22;8;55,5%;40;13;47,1%
41603-BAD LEONFELDEN;14;-1;-3,6%;19;4;23,1%;33;3;10,5%
41604-EIDENBERG;5;0;-8,2%;5;-1;-11,9%;10;-1;-10,2%
41605-ENGERWITZDORF;25;-1;-4,5%;39;17;79,1%;63;16;33,3%
41606-FELDKIRCHEN AN DER DONAU;22;5;28,7%;21;9;75,2%;43;14;48,1%
41607-GALLNEUKIRCHEN;28;2;6,9%;38;16;73,8%;66;18;37,2%
41608-GOLDWOERTH;2;0;4,8%;5;2;56,8%;7;2;37,9%
41609-GRAMASTETTEN;11;1;11,5%;15;6;55,5%;27;7;33,2%
41610-HAIBACH IM MUEHLKREIS;1;0;-19,0%;2;1;80,0%;4;1;22,2%
41611-HELLMONSOEDT;11;3;29,1%;13;5;66,7%;24;8;47,2%
41612-HERZOGSDORF;6;-1;-13,5%;11;6;98,5%;18;5;35,0%
41613-KIRCHSCHLAG BEI LINZ;8;1;8,3%;10;4;60,5%;18;4;33,1%
41614-LICHTENBERG;6;-1;-13,4%;8;3;60,0%;14;2;17,6%
41615-OBERNEUKIRCHEN;13;0;1,4%;17;6;59,7%;30;7;28,5%
41616-OTTENSCHLAG IM MUEHLKREIS;1;-1;-57,9%;1;1;100,0%;2;0;-20,0%
41617-OTTENSHEIM;19;1;3,6%;22;9;68,6%;41;9;30,3%
41618-PUCHENAU;18;-4;-19,1%;21;0;-0,8%;40;-5;-10,2%
41619-REICHENAU IM MUEHLKREIS;7;-1;-12,1%;8;2;28,2%;14;1;5,6%
41620-REICHENTHAL;6;1;8,7%;7;1;19,7%;13;2;14,3%
41621-SANKT GOTTHARD IM MUEHLKREIS;4;-1;-21,8%;9;2;37,8%;12;1;12,4%
41622-SCHENKENFELDEN;3;-3;-47,8%;6;3;68,9%;9;0;-1,8%
41623-SONNBERG IM MUEHLKREIS;2;1;61,1%;4;2;128,6%;6;3;97,4%
41624-STEYREGG;19;9;83,3%;37;13;56,4%;56;22;64,7%
41625-VORDERWEISZENBACH;8;2;24,4%;8;2;47,5%;16;4;34,5%
41626-WALDING;16;1;3,7%;12;4;44,1%;29;4;17,9%
41627-ZWETTL AN DER RODL;9;3;45,9%;13;5;56,3%;22;7;51,8%
Gesamt;1.895;243;14,7%;3.106;1.015;48,5%;5.001;1.258;33,6%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;7;-1;-8,5%;9;2;38,7%;16;2;12,4%
41102-ARBING;11;-1;-8,0%;16;7;79,0%;26;6;29,8%
41103-BAUMGARTENBERG;9;2;24,4%;15;7;90,4%;23;9;59,7%
41104-DIMBACH;4;-1;-21,1%;13;6;86,4%;16;5;42,0%
41105-GREIN;24;-3;-9,6%;31;16;100,5%;55;13;30,7%
41106-KATSDORF;16;1;5,6%;19;5;32,5%;34;5;18,8%
41107-KLAM;8;1;10,6%;9;3;53,7%;16;4;29,6%
41108-BAD KREUZEN;11;2;21,0%;21;7;53,8%;31;9;40,8%
41109-LANGENSTEIN;17;1;5,0%;31;13;71,2%;48;14;39,4%
41110-LUFTENBERG AN DER DONAU;28;9;50,7%;31;12;58,0%;59;21;54,4%
41111-MAUTHAUSEN;51;13;34,6%;74;33;80,8%;125;46;58,5%
41112-MITTERKIRCHEN IM MACHLAND;15;0;-1,1%;14;2;15,7%;29;2;6,1%
41113-MUENZBACH;9;1;11,9%;16;6;66,7%;25;7;40,9%
41114-NAARN IM MACHLANDE;28;7;31,7%;37;16;72,0%;66;23;51,9%
41115-PABNEUKIRCHEN;11;4;52,9%;12;4;44,7%;23;8;48,4%
41116-PERG;61;7;13,3%;97;36;57,3%;159;43;36,8%
41117-RECHBERG;4;-3;-46,3%;8;4;90,2%;12;1;6,9%
41118-RIED IN DER RIEDMARK;28;1;3,7%;43;20;88,9%;71;21;42,4%
41119-SANKT GEORGEN AM WALDE;12;3;28,3%;17;5;37,7%;29;7;33,7%
41120-SANKT GEORGEN AN DER GUSEN;27;7;35,2%;33;13;66,0%;59;20;50,5%
41121-SANKT NIKOLA AN DER DONAU;9;1;12,8%;13;4;38,1%;22;5;26,6%
41122-SANKT THOMAS AM BLASENSTEIN;4;0;-10,6%;6;2;34,5%;10;1;13,7%
41123-SAXEN;11;-4;-29,1%;13;6;82,8%;24;2;7,5%
41124-SCHWERTBERG;48;5;10,4%;81;35;76,7%;129;40;44,7%
41125-WALDHAUSEN IM STRUDENGAU;25;4;16,4%;38;17;78,7%;63;20;47,1%
41126-WINDHAAG BEI PERG;6;1;16,9%;15;7;79,8%;21;8;54,9%
Gesamt;482;55;12,8%;711;284;66,5%;1.193;339;39,6%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;6;-1;-16,5%;6;1;14,8%;12;0;-3,4%
41202-ANTIESENHOFEN;23;8;54,9%;19;2;14,4%;42;10;33,2%
41203-AUROLZMUENSTER;24;3;15,5%;44;17;65,2%;68;21;43,3%
41204-EBERSCHWANG;22;8;62,0%;45;19;76,1%;67;28;71,2%
41205-EITZING;5;2;52,6%;10;3;38,6%;14;4;43,0%
41206-GEIERSBERG;3;1;28,1%;5;1;17,4%;8;1;21,8%
41207-GEINBERG;13;1;5,6%;15;2;13,8%;28;3;9,9%
41208-GURTEN;15;4;35,9%;21;11;105,8%;35;15;69,3%
41209-HOHENZELL;9;3;41,8%;22;11;88,7%;32;13;71,9%
41210-KIRCHDORF AM INN;5;1;20,4%;4;1;38,9%;9;2;28,2%
41211-KIRCHHEIM IM INNKREIS;4;0;10,0%;8;2;36,2%;12;2;26,6%
41212-LAMBRECHTEN;10;2;25,3%;14;6;64,1%;24;8;45,5%
41213-LOHNSBURG AM KOBERNAUSZERWALD;17;2;13,0%;23;9;59,8%;41;11;35,8%
41214-MEHRNBACH;19;3;16,2%;34;17;99,0%;53;19;58,0%
41215-METTMACH;23;6;34,0%;32;14;78,2%;55;20;56,6%
41216-MOERSCHWANG;1;0;-29,4%;2;1;92,3%;3;1;23,3%
41217-MUEHLHEIM AM INN;4;0;-6,7%;3;1;37,9%;7;1;10,8%
41218-NEUHOFEN IM INNKREIS;17;1;7,5%;21;8;55,2%;38;9;29,7%
41219-OBERNBERG AM INN;19;2;9,5%;35;11;44,2%;54;12;29,6%
41220-ORT IM INNKREIS;20;7;54,1%;21;5;30,9%;41;12;41,3%
41221-PATTIGHAM;7;1;17,3%;8;3;65,6%;16;4;39,0%
41222-PETERSKIRCHEN;5;-1;-12,2%;5;1;21,2%;11;0;1,6%
41223-PRAMET;6;-2;-23,6%;14;4;40,9%;19;2;12,7%
41224-REICHERSBERG;11;3;40,9%;11;5;78,1%;22;8;57,2%
41225-RIED IM INNKREIS;137;19;16,1%;219;96;77,4%;356;114;47,4%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;4;-1;-16,1%;4;2;67,7%;8;1;13,8%
41227-SANKT MARIENKIRCHEN AM HAUSRUCK;7;1;18,6%;7;1;16,7%;14;2;17,6%
41228-SANKT MARTIN IM INNKREIS;15;-1;-6,7%;27;12;82,1%;42;11;35,8%
41229-SCHILDORN;9;2;25,6%;13;3;26,7%;21;4;26,2%
41230-SENFTENBACH;6;0;2,7%;8;3;42,3%;15;3;22,1%
41231-TAISKIRCHEN IM INNKREIS;19;-3;-13,4%;29;13;77,3%;48;10;25,7%
41232-TUMELTSHAM;16;6;57,6%;15;5;55,7%;31;11;56,7%
