;Arbeitslosigkeit;;;;;;;;
40419-LOCHEN;14;-6;-29,7%;14;-2;-14,3%;28;-8;-22,9%
40420-MARIA SCHMOLLN;3;-4;-52,9%;8;-4;-29,4%;12;-7;-38,2%
40421-MATTIGHOFEN;59;-8;-11,3%;52;-13;-19,4%;111;-20;-15,3%
40422-MAUERKIRCHEN;28;-7;-20,4%;29;-11;-28,4%;57;-19;-24,6%
40423-MINING;8;-4;-30,9%;6;-2;-28,4%;14;-6;-29,9%
40424-MOOSBACH;8;1;17,3%;8;0;-1,0%;16;1;7,3%
40425-MOOSDORF;14;1;4,2%;11;-1;-8,7%;26;-1;-1,9%
40426-MUNDERFING;28;1;2,1%;23;-7;-24,1%;52;-7;-11,7%
40427-NEUKIRCHEN AN DER ENKNACH;11;-8;-42,7%;12;-5;-27,5%;23;-13;-35,4%
40428-OSTERMIETHING;24;0;1,8%;22;-3;-11,7%;46;-3;-5,2%
40429-PALTING;4;-1;-20,4%;4;0;5,0%;7;-1;-9,6%
40430-PERWANG AM GRABENSEE;6;1;28,3%;4;0;-2,1%;10;1;14,0%
40431-PFAFFSTAETT;8;2;30,0%;8;2;27,8%;15;3;28,9%
40432-PISCHELSDORF AM ENGELBACH;9;-1;-9,8%;10;0;0,8%;20;-1;-4,5%
40433-POLLING IM INNKREIS;5;-4;-40,4%;6;-3;-32,7%;11;-6;-36,7%
40434-ROSZBACH;8;-2;-20,5%;8;0;-5,1%;16;-3;-13,8%
40435-SANKT GEORGEN AM FILLMANNSBACH;2;-1;-33,3%;2;0;-20,0%;3;-1;-27,3%
40436-SANKT JOHANN AM WALDE;8;-3;-30,2%;19;-9;-31,1%;26;-12;-30,9%
40437-SANKT PANTALEON;26;-7;-21,0%;31;-9;-21,6%;57;-15;-21,3%
40438-SANKT PETER AM HART;18;-2;-10,3%;9;-3;-24,1%;27;-5;-15,6%
40439-SANKT RADEGUND;4;1;51,7%;4;1;51,6%;8;3;51,7%
40440-SANKT VEIT IM INNKREIS;4;3;366,7%;1;-1;-33,3%;5;2;86,7%
40441-SCHALCHEN;27;-9;-24,5%;31;-9;-21,3%;58;-17;-22,8%
40442-SCHWAND IM INNKREIS;2;-1;-36,6%;3;-2;-38,8%;6;-3;-38,0%
40443-TARSDORF;9;3;41,7%;8;-1;-12,3%;16;1;9,6%
40444-TREUBACH;5;-2;-30,2%;4;0;9,1%;9;-2;-16,9%
40445-UEBERACKERN;2;0;5,9%;2;1;140,0%;4;1;55,6%
40446-WENG IM INNKREIS;11;0;4,1%;9;-2;-17,4%;20;-2;-7,1%
Gesamt;746;-153;-17,0%;813;-186;-18,6%;1.559;-339;-17,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;28;-3;-8,5%;34;0;1,0%;62;-2;-3,5%
40502-ASCHACH AN DER DONAU;14;-4;-20,6%;17;-7;-30,3%;31;-11;-26,3%
40503-EFERDING;25;-6;-18,3%;39;-11;-21,5%;65;-16;-20,2%
40504-FRAHAM;11;-1;-7,6%;10;-2;-16,0%;21;-3;-11,8%
40505-HAIBACH OB DER DONAU;7;0;-6,0%;7;-1;-8,0%;13;-1;-7,1%
40506-HARTKIRCHEN;18;-1;-2,6%;19;-7;-25,9%;37;-7;-16,0%
40507-HINZENBACH;10;0;0,0%;14;1;7,5%;24;1;4,3%
40508-PRAMBACHKIRCHEN;15;0;2,9%;18;-4;-18,2%;33;-4;-9,9%
40509-PUPPING;6;-1;-17,8%;11;-3;-19,4%;17;-4;-18,8%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;10;-3;-19,5%;11;-2;-14,9%;21;-4;-17,2%
40511-SCHARTEN;12;-1;-10,8%;18;-2;-10,7%;30;-4;-10,7%
40512-STROHEIM;5;-2;-21,7%;13;-5;-28,7%;18;-7;-26,8%
Gesamt;161;-20;-11,0%;212;-41;-16,2%;373;-61;-14,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;88;0;0,1%;87;-15;-14,7%;174;-15;-7,8%
40602-GRUENBACH;15;-1;-3,7%;12;-3;-20,9%;27;-4;-12,2%
40603-GUTAU;18;-4;-19,8%;17;-3;-14,8%;34;-7;-17,4%
40604-HAGENBERG IM MUEHLKREIS;16;-1;-5,9%;14;-2;-13,2%;30;-3;-9,5%
40605-HIRSCHBACH IM MUEHLKREIS;6;3;76,9%;3;-2;-40,0%;9;0;3,8%
40606-KALTENBERG;3;0;-2,8%;7;1;12,7%;10;1;7,8%
40607-KEFERMARKT;13;-1;-8,7%;9;-4;-27,6%;22;-5;-17,5%
40608-KOENIGSWIESEN;25;1;5,2%;20;-5;-18,5%;46;-3;-6,8%
40609-LASBERG;19;3;19,1%;19;-1;-5,0%;38;2;5,6%
40610-LEOPOLDSCHLAG;6;-4;-38,6%;11;-3;-21,7%;16;-7;-28,7%
40611-LIEBENAU;13;1;6,4%;9;-4;-29,8%;21;-3;-12,3%
40612-NEUMARKT IM MUEHLKREIS;23;3;15,9%;19;0;-2,2%;42;3;7,1%
40613-PIERBACH;4;0;11,4%;9;-2;-16,0%;13;-1;-9,1%
40614-PREGARTEN;37;1;4,0%;29;-2;-5,2%;66;0;-0,3%
40615-RAINBACH IM MUEHLKREIS;23;4;18,7%;24;-3;-10,0%;47;1;2,0%
40616-SANDL;14;0;-2,9%;15;0;-2,2%;28;-1;-2,6%
40617-SANKT LEONHARD BEI FREISTADT;8;0;0,0%;8;-1;-14,4%;16;-1;-7,6%
40618-SANKT OSWALD BEI FREISTADT;24;1;5,8%;17;-6;-24,0%;42;-4;-9,1%
40619-SCHOENAU IM MUEHLKREIS;9;-1;-13,3%;8;-7;-45,5%;17;-8;-32,0%
40620-TRAGWEIN;19;-1;-6,3%;15;-1;-6,6%;34;-2;-6,5%
40621-UNTERWEISZENBACH;16;2;10,2%;19;-5;-21,1%;35;-4;-9,1%
40622-UNTERWEITERSDORF;8;-2;-23,6%;9;-2;-19,7%;17;-5;-21,5%
40623-WALDBURG;6;1;19,3%;6;-2;-19,4%;12;-1;-4,7%
40624-WARTBERG OB DER AIST;24;-1;-5,2%;19;-1;-6,1%;43;-3;-5,6%
40625-WEITERSFELDEN;7;0;-2,4%;6;0;-1,3%;13;0;-1,9%
40626-WINDHAAG BEI FREISTADT;12;3;36,6%;20;-3;-11,9%;31;0;1,4%
40627-BAD ZELL;12;0;-2,8%;15;-2;-12,3%;27;-2;-8,4%
Gesamt;466;5;1,1%;446;-76;-14,6%;912;-72;-7,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;56;0;0,4%;50;-17;-25,5%;106;-17;-13,7%
40702-BAD GOISERN;72;11;18,0%;52;-13;-19,6%;124;-2;-1,4%
40703-BAD ISCHL;137;7;5,5%;144;-33;-18,7%;281;-26;-8,5%
40704-EBENSEE;71;-5;-6,7%;86;-16;-15,4%;156;-21;-11,7%
40705-GMUNDEN;118;-20;-14,8%;122;-42;-25,4%;240;-62;-20,5%
40706-GOSAU;19;-4;-15,8%;14;-3;-15,9%;33;-6;-15,9%
40707-GRUENAU IM ALMTAL;14;-4;-22,0%;14;-5;-26,8%;28;-9;-24,4%
40708-GSCHWANDT;15;-3;-15,4%;12;-5;-31,6%;26;-8;-23,4%
40709-HALLSTATT;7;0;0,0%;13;3;29,8%;20;3;17,6%
40710-KIRCHHAM;12;-5;-31,5%;10;-7;-41,0%;22;-13;-36,4%
40711-LAAKIRCHEN;82;3;3,1%;72;-18;-19,9%;154;-15;-9,0%
40712-OBERTRAUN;7;1;26,2%;4;0;-7,1%;11;1;10,7%
40713-OHLSDORF;26;-4;-13,1%;19;-6;-25,2%;45;-10;-18,6%
40714-PINSDORF;33;-5;-12,4%;26;-9;-26,4%;59;-14;-19,1%
40715-ROITHAM;13;-1;-5,8%;10;-1;-6,8%;24;-2;-6,3%
40716-SANKT KONRAD;6;-2;-21,3%;8;-2;-21,6%;14;-4;-21,5%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;34;0;-0,2%;22;-6;-21,2%;56;-6;-9,8%
40718-TRAUNKIRCHEN;15;1;10,8%;9;-3;-24,7%;24;-2;-6,3%
40719-SCHARNSTEIN;33;-10;-23,7%;30;-12;-28,2%;63;-22;-25,9%
40720-VORCHDORF;54;-12;-17,9%;57;-20;-26,1%;111;-32;-22,3%
Gesamt;824;-51;-5,8%;774;-216;-21,8%;1.598;-266;-14,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;5;-1;-13,4%;6;0;-5,1%;11;-1;-9,0%
40802-BAD SCHALLERBACH;23;1;5,4%;30;1;4,0%;53;2;4,6%
40803-BRUCK-WAASEN;10;-2;-13,1%;12;-5;-29,7%;22;-7;-23,1%
40804-ESCHENAU IM HAUSRUCKKREIS;3;-4;-54,8%;6;-4;-43,1%;9;-8;-47,8%
40805-GALLSPACH;26;-5;-15,4%;39;-5;-12,0%;65;-10;-13,4%
40806-GASPOLTSHOFEN;20;-7;-25,2%;28;0;1,2%;47;-6;-11,8%
40807-GEBOLTSKIRCHEN;11;4;58,8%;10;-2;-14,0%;20;2;13,0%
40808-GRIESKIRCHEN;27;-17;-38,3%;50;-8;-14,2%;77;-25;-24,6%
40809-HAAG AM HAUSRUCK;16;-3;-15,1%;17;-4;-17,8%;33;-7;-16,5%
40810-HEILIGENBERG;2;1;80,0%;3;0;-13,9%;5;1;13,7%
40811-HOFKIRCHEN AN DER TRATTNACH;8;-1;-9,1%;11;-1;-9,9%;19;-2;-9,6%
40812-KALLHAM;11;-4;-27,6%;16;-2;-11,4%;27;-6;-18,6%
40813-KEMATEN AM INNBACH;9;-3;-23,7%;9;-4;-30,9%;17;-7;-27,5%
40814-MEGGENHOFEN;9;0;1,9%;7;3;57,1%;16;3;21,4%
40815-MICHAELNBACH;6;0;-1,4%;6;-2;-21,8%;12;-2;-12,4%
40816-NATTERNBACH;16;1;4,3%;23;-7;-22,7%;40;-6;-13,5%
40817-NEUKIRCHEN AM WALDE;8;-2;-20,7%;21;-5;-20,6%;28;-7;-20,6%
40818-NEUMARKT IM HAUSRUCKKREIS;13;-3;-20,0%;12;-4;-24,7%;26;-7;-22,4%
40819-PEUERBACH;14;-3;-19,5%;15;-11;-42,2%;29;-15;-33,3%
40820-POETTING;2;0;-17,2%;2;-1;-40,0%;4;-1;-28,8%
40821-POLLHAM;2;-1;-36,4%;5;3;120,7%;8;2;26,0%
40822-PRAM;10;-1;-11,9%;12;-5;-27,4%;22;-6;-21,1%
40823-ROTTENBACH;7;1;7,3%;7;0;1,2%;14;1;4,2%
40824-SANKT AGATHA;13;-1;-3,8%;11;-3;-23,0%;24;-4;-14,1%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;6;1;20,3%;4;-2;-27,8%;11;-1;-5,1%
40826-SANKT THOMAS;2;-1;-31,0%;2;-1;-22,9%;4;-1;-26,6%
40827-SCHLUESZLBERG;22;-3;-10,2%;21;-6;-22,7%;43;-9;-16,7%
40828-STEEGEN;5;3;114,8%;7;-2;-27,1%;11;0;1,5%
40829-TAUFKIRCHEN AN DER TRATTNACH;12;-1;-4,7%;12;-4;-27,0%;24;-5;-17,4%
40830-TOLLET;3;-1;-25,5%;2;-1;-35,9%;5;-2;-30,2%
40831-WAIZENKIRCHEN;15;-7;-32,5%;22;-6;-20,2%;37;-13;-25,8%
40832-WALLERN AN DER TRATTNACH;18;-2;-9,2%;18;-4;-16,0%;36;-5;-12,8%
40833-WEIBERN;5;-4;-45,9%;7;-3;-31,7%;12;-7;-38,5%
40834-WENDLING;3;-2;-41,2%;6;2;47,1%;9;0;2,9%
Gesamt;360;-66;-15,4%;459;-94;-17,0%;820;-160;-16,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;1;-1;-46,2%;3;-1;-18,4%;4;-2;-29,7%
40902-GRUENBURG;34;5;16,2%;26;-8;-23,2%;60;-3;-5,1%
40903-HINTERSTODER;8;1;9,1%;4;-2;-40,0%;12;-2;-12,7%
40904-INZERSDORF IM KREMSTAL;7;-3;-27,8%;10;0;-4,0%;17;-3;-15,5%
40905-KIRCHDORF AN DER KREMS;42;7;18,5%;40;8;23,2%;82;14;20,8%
40906-KLAUS AN DER PYHRNBAHN;8;1;15,5%;7;-3;-33,3%;15;-2;-13,5%
40907-KREMSMUENSTER;40;-6;-12,9%;47;-6;-11,4%;87;-12;-12,1%
40908-MICHELDORF IN OBEROESTERREICH;52;12;28,9%;55;5;9,8%;107;17;18,3%
40909-MOLLN;21;-1;-4,2%;22;-1;-6,0%;43;-2;-5,1%
40910-NUSZBACH;13;-1;-8,8%;13;3;25,2%;26;1;5,5%
40911-OBERSCHLIERBACH;2;-1;-40,0%;3;1;31,0%;5;0;-7,8%
40912-PETTENBACH;38;0;0,2%;42;-8;-16,6%;80;-8;-9,3%
40913-RIED IM TRAUNKREIS;14;-4;-22,5%;19;-4;-18,6%;33;-8;-20,4%
40914-ROSENAU AM HENGSTPASZ;4;-2;-33,3%;6;-3;-31,1%;10;-5;-32,0%
40915-ROSZLEITHEN;13;-1;-7,4%;9;-1;-6,6%;22;-2;-7,0%
40916-SANKT PANKRAZ;1;-2;-63,3%;1;-2;-72,5%;2;-4;-68,6%
40917-SCHLIERBACH;21;3;14,0%;22;1;2,3%;43;3;7,7%
40918-SPITAL AM PYHRN;13;-5;-28,4%;16;-2;-8,9%;29;-7;-18,7%
40919-STEINBACH AM ZIEHBERG;4;0;0,0%;3;1;21,9%;8;1;8,4%
40920-STEINBACH AN DER STEYR;15;2;14,5%;16;1;9,6%;31;3;11,9%
40921-VORDERSTODER;6;0;1,4%;4;-2;-35,2%;10;-2;-16,7%
40922-WARTBERG AN DER KREMS;16;-1;-7,9%;20;-4;-16,2%;37;-5;-12,7%
40923-WINDISCHGARSTEN;20;-3;-11,9%;19;-2;-10,8%;40;-5;-11,4%
Gesamt;394;-2;-0,4%;407;-32;-7,3%;802;-34;-4,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.521;1;0,1%;2.025;-238;-10,5%;3.546;-237;-6,3%
41601-ALBERNDORF IN DER RIEDMARK;10;2;20,8%;11;-3;-23,1%;21;-2;-7,2%
41602-ALTENBERG BEI LINZ;16;0;1,1%;14;-4;-23,9%;29;-4;-12,3%
41603-BAD LEONFELDEN;16;0;2,7%;14;-6;-31,3%;30;-6;-16,6%
41604-EIDENBERG;5;1;28,0%;5;-2;-34,1%;10;-1;-11,1%
41605-ENGERWITZDORF;29;-1;-3,8%;22;-4;-16,4%;52;-6;-9,6%
41606-FELDKIRCHEN AN DER DONAU;18;-3;-15,4%;19;-6;-23,5%;37;-9;-19,7%
41607-GALLNEUKIRCHEN;35;-1;-3,2%;29;-12;-29,2%;64;-13;-16,9%
41608-GOLDWOERTH;3;-2;-40,0%;3;-2;-38,5%;5;-3;-39,2%
41609-GRAMASTETTEN;15;2;16,1%;13;-2;-16,1%;28;0;-1,2%
41610-HAIBACH IM MUEHLKREIS;1;-2;-64,3%;2;-2;-51,2%;3;-4;-57,6%
41611-HELLMONSOEDT;11;-1;-5,3%;8;-3;-25,8%;19;-3;-15,5%
41612-HERZOGSDORF;8;0;-2,0%;8;-2;-22,4%;16;-3;-13,5%
41613-KIRCHSCHLAG BEI LINZ;7;-1;-15,2%;5;-1;-15,4%;11;-2;-15,3%
41614-LICHTENBERG;5;1;18,2%;5;1;23,1%;11;2;20,6%
41615-OBERNEUKIRCHEN;11;0;0,7%;11;-2;-16,0%;23;-2;-8,4%
41616-OTTENSCHLAG IM MUEHLKREIS;1;0;30,8%;1;0;0,0%;3;0;15,4%
41617-OTTENSHEIM;20;1;3,0%;17;-4;-17,5%;37;-3;-7,6%
41618-PUCHENAU;16;1;8,5%;18;7;55,7%;34;8;29,3%
41619-REICHENAU IM MUEHLKREIS;9;2;34,2%;5;-1;-15,3%;14;1;10,1%
41620-REICHENTHAL;7;2;29,0%;7;0;-4,7%;14;1;9,5%
41621-SANKT GOTTHARD IM MUEHLKREIS;3;-1;-25,5%;7;0;6,8%;10;-1;-6,4%
41622-SCHENKENFELDEN;5;0;-5,0%;3;-4;-55,3%;8;-4;-34,5%
41623-SONNBERG IM MUEHLKREIS;2;0;21,1%;2;0;-17,4%;4;0;0,0%
41624-STEYREGG;16;1;4,3%;23;-4;-13,8%;39;-3;-7,2%
41625-VORDERWEISZENBACH;5;1;31,9%;6;-3;-34,0%;11;-2;-13,3%
41626-WALDING;19;2;9,1%;10;-3;-25,2%;29;-2;-5,9%
41627-ZWETTL AN DER RODL;6;-1;-15,4%;8;-2;-19,2%;14;-3;-17,7%
Gesamt;1.819;3;0,2%;2.300;-303;-11,6%;4.119;-300;-6,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;8;0;3,3%;4;0;-3,9%;12;0;0,7%
41102-ARBING;6;0;-3,9%;9;0;4,7%;15;0;1,1%
41103-BAUMGARTENBERG;8;-3;-25,4%;8;1;13,1%;16;-2;-10,3%
41104-DIMBACH;5;1;25,6%;8;-2;-17,5%;12;-1;-5,7%
41105-GREIN;21;-3;-11,9%;22;-7;-24,0%;43;-10;-18,5%
41106-KATSDORF;13;-4;-24,1%;15;-1;-6,5%;27;-5;-15,7%
41107-KLAM;7;-4;-35,4%;6;-1;-10,1%;13;-4;-25,7%
41108-BAD KREUZEN;12;1;11,5%;12;-6;-31,7%;24;-4;-15,1%
41109-LANGENSTEIN;18;-1;-7,3%;20;-5;-18,9%;38;-6;-13,8%
41110-LUFTENBERG AN DER DONAU;23;-4;-16,0%;20;-9;-30,0%;43;-13;-23,2%
41111-MAUTHAUSEN;33;-10;-22,9%;44;-9;-16,6%;77;-18;-19,4%
41112-MITTERKIRCHEN IM MACHLAND;13;-1;-6,0%;8;-3;-23,8%;21;-3;-13,9%
41113-MUENZBACH;8;0;5,2%;11;-2;-13,4%;20;-1;-6,3%
41114-NAARN IM MACHLANDE;20;-9;-31,1%;23;-1;-3,5%;43;-10;-18,7%
41115-PABNEUKIRCHEN;4;-4;-45,7%;9;-1;-7,4%;14;-4;-23,8%
41116-PERG;56;-11;-16,5%;74;-9;-11,3%;130;-20;-13,6%
41117-RECHBERG;4;-4;-48,8%;4;-1;-19,6%;7;-4;-37,3%
41118-RIED IN DER RIEDMARK;21;-4;-16,6%;18;-7;-27,1%;40;-11;-21,8%
41119-SANKT GEORGEN AM WALDE;11;-1;-8,6%;12;-6;-33,2%;23;-7;-23,7%
41120-SANKT GEORGEN AN DER GUSEN;21;-4;-16,7%;30;3;11,4%;51;-1;-2,2%
41121-SANKT NIKOLA AN DER DONAU;6;-3;-33,7%;12;1;7,4%;18;-2;-10,1%
41122-SANKT THOMAS AM BLASENSTEIN;3;-2;-48,3%;5;0;1,7%;7;-2;-23,3%
41123-SAXEN;11;-2;-13,7%;9;-5;-33,1%;20;-6;-23,9%
41124-SCHWERTBERG;41;1;2,1%;46;-11;-19,9%;87;-11;-10,8%
41125-WALDHAUSEN IM STRUDENGAU;22;0;-1,5%;22;-6;-20,4%;44;-6;-12,0%
41126-WINDHAAG BEI PERG;8;-1;-15,1%;12;0;0,0%;19;-1;-6,5%
Gesamt;400;-71;-15,1%;464;-83;-15,2%;864;-155;-15,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;7;1;14,9%;6;-2;-25,6%;13;-1;-7,3%
41202-ANTIESENHOFEN;13;-1;-7,0%;16;-5;-24,2%;30;-6;-17,3%
41203-AUROLZMUENSTER;27;-6;-19,3%;28;-7;-20,9%;55;-14;-20,1%
41204-EBERSCHWANG;19;-4;-18,4%;25;-7;-21,9%;44;-11;-20,4%
41205-EITZING;4;1;23,7%;5;0;8,3%;9;1;14,3%
41206-GEIERSBERG;4;0;-1,9%;4;-2;-36,6%;8;-2;-21,8%
41207-GEINBERG;12;3;27,4%;13;2;19,4%;25;5;23,1%
41208-GURTEN;11;2;18,6%;10;-1;-8,5%;21;1;4,1%
41209-HOHENZELL;7;-3;-29,1%;13;-1;-4,3%;20;-3;-14,7%
41210-KIRCHDORF AM INN;5;2;57,1%;3;0;-13,2%;7;1;20,5%
41211-KIRCHHEIM IM INNKREIS;5;1;25,6%;5;-2;-23,5%;10;-1;-7,0%
