;Arbeitslosigkeit;;;;;;;;
40428-OSTERMIETHING;31;5;19,4%;32;4;12,5%;62;9;15,8%
40429-PALTING;6;-2;-24,7%;7;1;23,9%;13;-1;-4,4%
40430-PERWANG AM GRABENSEE;6;0;4,5%;10;1;13,7%;16;1;10,1%
40431-PFAFFSTAETT;11;1;9,8%;17;1;7,6%;28;2;8,4%
40432-PISCHELSDORF AM ENGELBACH;14;0;-3,0%;23;3;14,7%;37;3;7,5%
40433-POLLING IM INNKREIS;10;2;25,0%;9;2;23,8%;19;4;24,4%
40434-ROSZBACH;11;2;16,1%;11;0;-3,5%;23;1;5,4%
40435-SANKT GEORGEN AM FILLMANNSBACH;5;2;63,9%;2;-2;-51,2%;7;0;1,3%
40436-SANKT JOHANN AM WALDE;20;4;27,5%;31;-1;-4,1%;52;3;6,2%
40437-SANKT PANTALEON;41;3;6,9%;59;7;14,0%;100;10;11,0%
40438-SANKT PETER AM HART;25;1;5,2%;21;2;11,7%;46;3;8,0%
40439-SANKT RADEGUND;4;-1;-18,2%;4;-2;-28,8%;8;-3;-24,2%
40440-SANKT VEIT IM INNKREIS;5;-1;-18,7%;4;2;57,6%;9;0;4,6%
40441-SCHALCHEN;52;11;25,4%;59;5;8,3%;111;15;15,7%
40442-SCHWAND IM INNKREIS;8;3;66,7%;5;1;27,3%;13;4;49,5%
40443-TARSDORF;16;4;31,3%;11;-3;-19,2%;27;1;4,2%
40444-TREUBACH;6;0;1,4%;4;0;5,0%;10;0;2,7%
40445-UEBERACKERN;4;-2;-29,0%;5;2;89,7%;8;1;8,8%
40446-WENG IM INNKREIS;9;-3;-25,0%;11;4;56,3%;20;1;5,6%
Gesamt;1.239;138;12,5%;1.383;100;7,8%;2.622;238;10,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;38;3;8,0%;52;11;27,8%;90;14;18,6%
40502-ASCHACH AN DER DONAU;19;1;4,1%;35;3;7,8%;54;3;6,5%
40503-EFERDING;48;8;20,4%;62;8;15,6%;109;16;17,7%
40504-FRAHAM;17;0;1,5%;21;4;25,3%;37;4;13,4%
40505-HAIBACH OB DER DONAU;7;1;8,0%;10;0;4,4%;17;1;5,9%
40506-HARTKIRCHEN;22;3;12,6%;27;-1;-3,9%;49;1;3,0%
40507-HINZENBACH;13;3;27,0%;18;7;62,2%;32;10;45,2%
40508-PRAMBACHKIRCHEN;19;0;0,4%;24;1;2,5%;43;1;1,6%
40509-PUPPING;17;4;30,1%;20;2;11,6%;37;6;19,2%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;11;-2;-16,8%;24;6;31,3%;35;3;10,8%
40511-SCHARTEN;14;1;5,6%;23;4;19,6%;38;5;13,9%
40512-STROHEIM;9;2;19,8%;11;-1;-6,8%;21;1;3,4%
Gesamt;234;22;10,2%;326;44;15,6%;561;66;13,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;105;12;12,5%;121;8;7,2%;226;20;9,6%
40602-GRUENBACH;13;2;15,8%;23;4;21,9%;37;6;19,6%
40603-GUTAU;19;2;12,1%;26;3;13,7%;46;5;13,0%
40604-HAGENBERG IM MUEHLKREIS;17;-2;-10,1%;18;2;14,1%;35;0;0,7%
40605-HIRSCHBACH IM MUEHLKREIS;7;1;16,2%;4;-1;-15,1%;10;0;2,5%
40606-KALTENBERG;3;-1;-20,8%;6;0;-2,5%;10;-1;-9,4%
40607-KEFERMARKT;13;0;1,3%;14;-1;-8,3%;27;-1;-3,9%
40608-KOENIGSWIESEN;23;7;41,1%;31;1;1,6%;54;7;15,1%
40609-LASBERG;16;1;8,4%;28;1;3,4%;44;2;5,2%
40610-LEOPOLDSCHLAG;5;0;-7,5%;12;-5;-28,3%;17;-5;-23,0%
40611-LIEBENAU;12;1;12,8%;17;3;23,5%;28;5;18,8%
40612-NEUMARKT IM MUEHLKREIS;23;5;30,0%;25;6;29,0%;48;11;29,5%
40613-PIERBACH;9;0;-2,7%;11;1;5,8%;20;0;1,7%
40614-PREGARTEN;42;4;11,4%;41;1;1,7%;83;5;6,4%
40615-RAINBACH IM MUEHLKREIS;25;-2;-8,1%;31;0;-0,8%;56;-2;-4,1%
40616-SANDL;10;-2;-16,9%;25;3;11,3%;35;0;1,2%
40617-SANKT LEONHARD BEI FREISTADT;11;5;70,0%;7;0;-2,3%;18;5;32,3%
40618-SANKT OSWALD BEI FREISTADT;25;1;3,1%;28;5;24,0%;53;6;13,1%
40619-SCHOENAU IM MUEHLKREIS;10;0;0,0%;13;1;7,6%;23;1;4,1%
40620-TRAGWEIN;22;-2;-9,8%;23;-1;-4,5%;44;-3;-7,1%
40621-UNTERWEISZENBACH;14;2;18,4%;18;0;0,5%;32;2;7,6%
40622-UNTERWEITERSDORF;12;2;23,9%;19;-1;-3,8%;31;2;5,4%
40623-WALDBURG;10;1;7,8%;7;0;-3,5%;17;1;3,0%
40624-WARTBERG OB DER AIST;20;-5;-18,6%;33;9;36,0%;53;4;8,5%
40625-WEITERSFELDEN;11;4;48,9%;12;1;8,0%;23;5;24,0%
40626-WINDHAAG BEI FREISTADT;7;-2;-24,6%;19;2;10,0%;27;-1;-2,2%
40627-BAD ZELL;17;1;7,8%;21;1;4,5%;39;2;5,9%
Gesamt;502;34;7,3%;634;41;6,9%;1.136;75;7,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;67;3;4,3%;80;3;4,0%;147;6;4,1%
40702-BAD GOISERN;65;-2;-2,2%;81;12;17,9%;146;11;8,0%
40703-BAD ISCHL;141;10;7,8%;193;11;5,8%;334;21;6,6%
40704-EBENSEE;63;-5;-6,9%;109;7;7,0%;173;3;1,5%
40705-GMUNDEN;147;13;9,6%;214;22;11,4%;361;35;10,7%
40706-GOSAU;25;2;9,6%;19;3;22,7%;43;6;14,8%
40707-GRUENAU IM ALMTAL;17;2;11,4%;25;2;8,7%;42;4;9,8%
40708-GSCHWANDT;21;3;19,9%;22;0;0,0%;43;3;8,7%
40709-HALLSTATT;11;0;3,1%;9;1;12,0%;20;1;7,0%
40710-KIRCHHAM;15;4;39,7%;18;0;2,4%;33;5;16,4%
40711-LAAKIRCHEN;113;7;6,5%;152;19;14,6%;265;26;11,0%
40712-OBERTRAUN;6;-1;-7,5%;7;2;30,0%;13;1;8,6%
40713-OHLSDORF;41;2;5,3%;47;6;14,7%;88;8;10,1%
40714-PINSDORF;40;-3;-7,9%;49;-4;-6,9%;88;-7;-7,3%
40715-ROITHAM;15;1;6,4%;15;-1;-3,8%;30;0;1,1%
40716-SANKT KONRAD;7;2;40,4%;12;3;25,4%;19;4;30,3%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;37;1;1,8%;29;2;8,3%;66;3;4,6%
40718-TRAUNKIRCHEN;16;1;10,1%;18;0;-1,4%;34;1;3,6%
40719-SCHARNSTEIN;40;2;5,0%;45;-1;-2,9%;85;1;0,7%
40720-VORCHDORF;76;5;7,5%;120;9;7,9%;196;14;7,7%
Gesamt;962;49;5,3%;1.264;97;8,3%;2.227;145;7,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;6;-2;-23,3%;9;0;-1,8%;15;-2;-11,3%
40802-BAD SCHALLERBACH;37;6;17,6%;59;8;16,7%;96;14;17,1%
40803-BRUCK-WAASEN;16;4;39,8%;17;1;4,6%;33;5;18,8%
40804-ESCHENAU IM HAUSRUCKKREIS;5;1;17,6%;11;-2;-16,5%;16;-1;-8,1%
40805-GALLSPACH;31;-2;-5,1%;55;10;22,3%;87;8;10,8%
40806-GASPOLTSHOFEN;28;2;8,7%;40;5;13,1%;68;7;11,2%
40807-GEBOLTSKIRCHEN;11;0;-2,2%;17;1;7,3%;28;1;3,4%
40808-GRIESKIRCHEN;62;4;7,6%;81;11;15,5%;142;15;11,9%
40809-HAAG AM HAUSRUCK;21;4;26,4%;19;0;-1,3%;40;4;11,3%
40810-HEILIGENBERG;2;0;3,7%;5;1;22,0%;7;1;15,6%
40811-HOFKIRCHEN AN DER TRATTNACH;16;5;50,8%;15;5;46,8%;32;10;48,8%
40812-KALLHAM;18;6;49,7%;34;3;8,5%;52;9;20,0%
40813-KEMATEN AM INNBACH;12;1;10,7%;19;5;31,6%;31;6;22,5%
40814-MEGGENHOFEN;9;0;-2,7%;11;0;2,4%;20;0;0,0%
40815-MICHAELNBACH;5;-2;-25,6%;8;1;11,4%;13;-1;-6,5%
40816-NATTERNBACH;17;1;7,9%;30;2;7,1%;47;3;7,4%
40817-NEUKIRCHEN AM WALDE;11;-1;-10,3%;24;2;9,5%;35;1;2,5%
40818-NEUMARKT IM HAUSRUCKKREIS;21;4;20,2%;24;1;6,2%;45;5;12,3%
40819-PEUERBACH;19;-1;-4,6%;27;1;2,8%;46;0;-0,4%
40820-POETTING;2;0;7,7%;2;0;16,7%;4;0;11,4%
40821-POLLHAM;7;3;64,7%;7;1;8,3%;14;3;31,7%
40822-PRAM;12;-6;-31,3%;23;-1;-3,1%;35;-6;-15,0%
40823-ROTTENBACH;10;-3;-23,3%;11;1;11,5%;20;-2;-8,4%
40824-SANKT AGATHA;13;-2;-13,6%;14;3;24,8%;27;1;3,2%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;12;4;53,3%;7;1;17,9%;18;5;38,4%
40826-SANKT THOMAS;4;1;31,4%;4;1;15,4%;8;1;23,0%
40827-SCHLUESZLBERG;26;3;14,6%;34;6;20,8%;60;9;18,1%
40828-STEEGEN;6;2;34,0%;13;2;24,0%;18;4;27,0%
40829-TAUFKIRCHEN AN DER TRATTNACH;12;1;9,1%;17;4;27,8%;29;5;19,3%
40830-TOLLET;5;0;3,8%;5;0;-1,5%;10;0;0,9%
40831-WAIZENKIRCHEN;30;7;28,4%;32;6;22,5%;62;13;25,3%
40832-WALLERN AN DER TRATTNACH;20;3;19,1%;29;5;19,7%;49;8;19,5%
40833-WEIBERN;11;0;2,4%;13;2;14,2%;24;2;8,6%
40834-WENDLING;6;-1;-14,8%;4;0;2,0%;10;-1;-8,4%
Gesamt;521;44;9,2%;721;83;13,1%;1.241;127;11,4%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;5;0;-1,6%;10;3;37,9%;15;3;21,3%
40902-GRUENBURG;43;-3;-6,6%;44;-3;-6,0%;88;-6;-6,3%
40903-HINTERSTODER;7;-2;-19,0%;8;0;-3,0%;15;-2;-11,2%
40904-INZERSDORF IM KREMSTAL;14;2;17,9%;19;4;23,3%;34;6;21,0%
40905-KIRCHDORF AN DER KREMS;47;1;2,2%;64;4;6,5%;111;5;4,6%
40906-KLAUS AN DER PYHRNBAHN;9;-3;-22,4%;9;-2;-22,0%;17;-5;-22,2%
40907-KREMSMUENSTER;65;10;17,6%;71;-4;-5,2%;136;6;4,5%
40908-MICHELDORF IN OBEROESTERREICH;66;2;3,1%;69;-1;-0,7%;135;2;1,1%
40909-MOLLN;26;0;-0,6%;30;-4;-10,8%;56;-4;-6,3%
40910-NUSZBACH;18;0;-1,8%;18;3;16,9%;37;2;6,8%
40911-OBERSCHLIERBACH;4;2;54,5%;3;0;0,0%;7;2;26,9%
40912-PETTENBACH;56;7;13,2%;70;2;2,4%;126;8;6,9%
40913-RIED IM TRAUNKREIS;20;1;4,8%;31;2;5,9%;52;3;5,5%
40914-ROSENAU AM HENGSTPASZ;9;0;4,9%;7;-1;-9,2%;16;0;-1,6%
40915-ROSZLEITHEN;18;-3;-14,3%;23;5;27,8%;41;2;4,7%
40916-SANKT PANKRAZ;3;-2;-37,7%;5;3;133,3%;7;1;15,6%
40917-SCHLIERBACH;21;-2;-7,8%;29;8;37,9%;50;6;14,5%
40918-SPITAL AM PYHRN;26;3;11,9%;26;1;3,0%;52;4;7,2%
40919-STEINBACH AM ZIEHBERG;4;-1;-10,9%;9;3;50,7%;13;3;23,8%
40920-STEINBACH AN DER STEYR;14;-5;-24,9%;24;4;21,5%;38;-1;-1,5%
40921-VORDERSTODER;7;0;-5,5%;10;2;32,2%;17;2;12,9%
40922-WARTBERG AN DER KREMS;29;-2;-7,8%;34;-1;-1,7%;63;-3;-4,6%
40923-WINDISCHGARSTEN;24;2;9,0%;27;4;19,4%;51;6;14,3%
Gesamt;536;7;1,2%;640;32;5,2%;1.176;39;3,4%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;3.137;651;26,2%;4.638;935;25,3%;7.775;1.586;25,6%
41601-ALBERNDORF IN DER RIEDMARK;24;2;6,8%;22;2;10,4%;46;4;8,5%
41602-ALTENBERG BEI LINZ;17;4;32,3%;26;-1;-2,2%;43;4;9,3%
41603-BAD LEONFELDEN;29;3;13,4%;33;10;41,9%;62;13;27,0%
41604-EIDENBERG;9;2;35,0%;8;-1;-7,4%;17;2;10,6%
41605-ENGERWITZDORF;39;4;10,8%;60;4;7,2%;99;8;8,5%
41606-FELDKIRCHEN AN DER DONAU;34;11;49,1%;39;8;26,9%;73;19;36,2%
41607-GALLNEUKIRCHEN;37;4;12,5%;53;4;7,9%;90;8;9,8%
41608-GOLDWOERTH;5;0;0,0%;6;1;14,1%;11;1;7,6%
41609-GRAMASTETTEN;26;5;21,1%;24;6;29,6%;50;10;25,1%
41610-HAIBACH IM MUEHLKREIS;4;0;10,6%;2;-2;-45,3%;7;-2;-19,0%
41611-HELLMONSOEDT;12;2;18,3%;22;6;38,7%;34;8;30,9%
41612-HERZOGSDORF;13;1;9,0%;16;4;38,8%;29;5;23,4%
41613-KIRCHSCHLAG BEI LINZ;9;-4;-31,1%;14;-2;-14,1%;23;-7;-21,9%
41614-LICHTENBERG;8;2;33,3%;13;2;18,6%;21;4;24,0%
41615-OBERNEUKIRCHEN;18;5;35,4%;19;0;1,4%;37;5;15,7%
41616-OTTENSCHLAG IM MUEHLKREIS;1;-1;-30,4%;3;1;56,5%;4;1;13,0%
41617-OTTENSHEIM;32;4;12,3%;40;8;23,3%;72;11;18,1%
41618-PUCHENAU;28;5;19,9%;31;7;27,8%;59;11;24,0%
41619-REICHENAU IM MUEHLKREIS;10;2;29,3%;9;2;21,6%;19;4;25,6%
41620-REICHENTHAL;4;0;-5,9%;15;4;31,3%;19;3;21,1%
41621-SANKT GOTTHARD IM MUEHLKREIS;5;-1;-19,0%;12;2;18,5%;17;1;3,5%
41622-SCHENKENFELDEN;9;-1;-8,9%;6;0;2,9%;14;-1;-4,4%
41623-SONNBERG IM MUEHLKREIS;6;3;94,1%;6;2;65,9%;11;5;78,7%
41624-STEYREGG;29;-1;-3,9%;52;13;32,5%;80;12;16,7%
41625-VORDERWEISZENBACH;11;0;-3,6%;14;2;17,4%;25;2;6,9%
41626-WALDING;23;2;10,0%;29;7;34,1%;52;9;22,3%
41627-ZWETTL AN DER RODL;7;-2;-19,8%;13;-1;-7,1%;20;-3;-12,2%
Gesamt;3.585;700;24,3%;5.222;1.023;24,3%;8.806;1.723;24,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;11;1;10,3%;9;1;13,3%;19;2;11,7%
41102-ARBING;11;-3;-20,5%;12;-1;-7,5%;23;-4;-14,0%
41103-BAUMGARTENBERG;11;1;8,0%;12;-1;-4,7%;23;0;1,1%
41104-DIMBACH;4;-2;-27,4%;11;-1;-9,2%;15;-3;-15,4%
41105-GREIN;32;2;6,8%;40;0;-1,0%;72;2;2,3%
41106-KATSDORF;21;4;21,7%;24;2;7,6%;45;5;13,9%
41107-KLAM;9;5;128,3%;8;-1;-8,3%;17;4;32,3%
41108-BAD KREUZEN;15;3;26,8%;17;-6;-25,6%;32;-3;-7,7%
41109-LANGENSTEIN;24;-1;-3,7%;26;-1;-1,9%;49;-1;-2,8%
41110-LUFTENBERG AN DER DONAU;29;-2;-6,1%;32;1;2,4%;62;-1;-1,9%
41111-MAUTHAUSEN;50;1;2,4%;72;4;6,2%;122;5;4,6%
41112-MITTERKIRCHEN IM MACHLAND;12;-3;-19,1%;13;0;0,0%;25;-3;-10,5%
41113-MUENZBACH;11;0;4,1%;15;-2;-13,0%;25;-2;-6,5%
41114-NAARN IM MACHLANDE;28;1;2,1%;34;-7;-16,1%;62;-6;-8,7%
41115-PABNEUKIRCHEN;11;-2;-18,0%;16;-5;-24,2%;27;-7;-21,8%
41116-PERG;78;-5;-5,7%;113;9;8,7%;191;4;2,4%
41117-RECHBERG;8;1;16,9%;6;-1;-15,6%;14;0;-0,6%
41118-RIED IN DER RIEDMARK;28;3;13,5%;37;4;11,9%;65;7;12,6%
41119-SANKT GEORGEN AM WALDE;15;-3;-16,6%;20;1;3,4%;35;-2;-6,1%
41120-SANKT GEORGEN AN DER GUSEN;21;-9;-29,0%;38;3;8,0%;59;-6;-9,0%
41121-SANKT NIKOLA AN DER DONAU;10;1;15,0%;15;0;-1,6%;25;1;4,2%
41122-SANKT THOMAS AM BLASENSTEIN;4;-1;-16,1%;6;-1;-19,0%;10;-2;-17,9%
41123-SAXEN;14;-1;-5,2%;14;-1;-7,2%;28;-2;-6,2%
41124-SCHWERTBERG;58;6;12,1%;76;12;19,1%;133;18;15,9%
41125-WALDHAUSEN IM STRUDENGAU;25;7;35,5%;33;-5;-13,4%;58;1;2,3%
41126-WINDHAAG BEI PERG;7;-2;-17,1%;15;-1;-6,4%;22;-3;-10,3%
Gesamt;545;4;0,8%;712;2;0,3%;1.257;7;0,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;7;0;2,4%;7;-3;-26,5%;14;-2;-14,2%
41202-ANTIESENHOFEN;14;0;0,6%;16;1;4,8%;30;1;2,8%
41203-AUROLZMUENSTER;35;0;-0,2%;46;0;0,0%;81;0;-0,1%
41204-EBERSCHWANG;27;3;12,4%;38;2;6,5%;66;5;8,9%
41205-EITZING;6;1;17,9%;9;1;10,1%;15;2;12,9%
41206-GEIERSBERG;5;2;87,1%;5;2;65,7%;10;4;75,8%
41207-GEINBERG;14;-3;-19,8%;15;1;10,6%;28;-2;-6,4%
41208-GURTEN;7;-2;-18,4%;14;0;-1,2%;20;-2;-7,6%
41209-HOHENZELL;12;2;22,3%;21;3;14,2%;34;5;17,1%
41210-KIRCHDORF AM INN;6;2;73,7%;4;2;60,0%;10;4;67,6%
41211-KIRCHHEIM IM INNKREIS;5;0;7,1%;6;1;18,3%;11;1;12,9%
41212-LAMBRECHTEN;12;2;15,7%;14;3;26,4%;25;4;21,2%
41213-LOHNSBURG AM KOBERNAUSZERWALD;19;2;13,5%;26;0;0,3%;45;2;5,5%
41214-MEHRNBACH;19;-1;-6,5%;24;1;4,0%;43;0;-1,0%
41215-METTMACH;14;-3;-18,0%;27;2;8,4%;40;-1;-2,2%
41216-MOERSCHWANG;1;0;15,4%;1;0;-5,6%;3;0;3,2%
41217-MUEHLHEIM AM INN;2;-1;-21,9%;7;1;13,0%;9;0;2,0%
41218-NEUHOFEN IM INNKREIS;20;2;9,9%;22;1;5,1%;42;3;7,2%
41219-OBERNBERG AM INN;18;1;7,8%;29;1;3,9%;47;2;5,4%
41220-ORT IM INNKREIS;13;-2;-13,4%;16;2;16,6%;30;0;0,8%
41221-PATTIGHAM;6;0;-6,1%;7;-1;-8,0%;13;-1;-7,1%
41222-PETERSKIRCHEN;5;2;51,3%;8;1;19,5%;13;3;30,2%
41223-PRAMET;6;-2;-26,3%;7;0;-3,3%;13;-2;-15,0%
41224-REICHERSBERG;20;0;1,3%;21;1;6,8%;41;2;4,0%
41225-RIED IM INNKREIS;144;2;1,7%;195;10;5,4%;338;12;3,8%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;3;0;-2,7%;3;0;14,7%;6;0;5,6%
