;Arbeitslosigkeit;;;;;;;;
40444-TREUBACH;7;3;68,8%;5;1;27,9%;11;4;49,5%
40445-UEBERACKERN;3;1;36,0%;1;-2;-67,6%;4;-1;-25,8%
40446-WENG IM INNKREIS;12;4;45,1%;10;2;20,4%;23;6;32,7%
Gesamt;933;56;6,4%;1.092;132;13,7%;2.024;188;10,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;31;4;16,1%;38;-4;-8,6%;69;1;1,0%
40502-ASCHACH AN DER DONAU;18;4;30,2%;25;2;9,6%;42;6;17,3%
40503-EFERDING;35;6;20,2%;48;6;15,3%;82;12;17,3%
40504-FRAHAM;12;1;11,5%;14;5;53,2%;26;6;30,4%
40505-HAIBACH OB DER DONAU;6;0;4,4%;5;0;0,0%;11;0;2,3%
40506-HARTKIRCHEN;19;3;16,6%;26;-1;-2,5%;45;2;4,6%
40507-HINZENBACH;10;2;20,6%;14;-1;-4,0%;24;1;4,8%
40508-PRAMBACHKIRCHEN;17;5;45,8%;23;-2;-9,0%;40;3;8,6%
40509-PUPPING;9;2;35,9%;10;-2;-12,6%;19;1;4,5%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;12;4;49,0%;12;0;0,0%;24;4;20,1%
40511-SCHARTEN;13;3;24,2%;20;1;7,0%;34;4;13,2%
40512-STROHEIM;6;-3;-36,8%;13;2;17,4%;19;-1;-6,7%
Gesamt;187;31;20,1%;248;8;3,4%;435;39;9,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;103;29;39,4%;103;12;13,2%;206;41;25,0%
40602-GRUENBACH;17;1;8,2%;17;5;37,0%;33;6;21,0%
40603-GUTAU;19;1;6,7%;20;4;23,4%;38;5;14,7%
40604-HAGENBERG IM MUEHLKREIS;17;4;32,0%;19;8;72,0%;36;12;50,5%
40605-HIRSCHBACH IM MUEHLKREIS;7;1;23,8%;7;0;6,1%;14;2;13,8%
40606-KALTENBERG;2;0;-16,7%;7;1;25,4%;9;1;12,4%
40607-KEFERMARKT;13;-1;-7,0%;13;-3;-19,4%;26;-4;-13,4%
40608-KOENIGSWIESEN;18;-2;-9,7%;30;4;17,0%;48;2;5,3%
40609-LASBERG;23;4;23,6%;18;1;4,9%;40;5;14,7%
40610-LEOPOLDSCHLAG;9;2;20,5%;11;0;-3,5%;20;1;5,7%
40611-LIEBENAU;10;2;20,4%;15;4;31,4%;26;5;26,7%
40612-NEUMARKT IM MUEHLKREIS;21;1;6,4%;24;-5;-16,1%;45;-3;-7,0%
40613-PIERBACH;7;0;2,5%;12;1;13,6%;19;2;9,3%
40614-PREGARTEN;32;8;33,2%;37;4;11,1%;70;12;20,4%
40615-RAINBACH IM MUEHLKREIS;21;2;11,2%;29;0;-1,1%;50;2;3,7%
40616-SANDL;17;2;15,3%;18;1;8,0%;35;4;11,4%
40617-SANKT LEONHARD BEI FREISTADT;10;4;59,7%;12;1;13,9%;22;5;31,7%
40618-SANKT OSWALD BEI FREISTADT;21;1;5,5%;24;0;-1,7%;45;1;1,5%
40619-SCHOENAU IM MUEHLKREIS;8;-2;-18,8%;14;0;-2,9%;22;-2;-9,1%
40620-TRAGWEIN;24;1;3,2%;18;-1;-6,4%;42;-1;-1,2%
40621-UNTERWEISZENBACH;15;0;0,0%;22;1;5,1%;37;1;3,0%
40622-UNTERWEITERSDORF;12;3;32,4%;12;3;35,0%;24;6;33,6%
40623-WALDBURG;12;6;91,7%;7;1;20,5%;19;7;55,9%
40624-WARTBERG OB DER AIST;23;-2;-8,5%;23;2;10,4%;46;0;0,0%
40625-WEITERSFELDEN;5;-1;-18,4%;8;2;25,7%;13;0;3,3%
40626-WINDHAAG BEI FREISTADT;9;2;25,9%;28;-1;-2,4%;36;1;3,1%
40627-BAD ZELL;14;1;3,6%;21;6;42,3%;35;7;23,5%
Gesamt;487;67;15,9%;569;51;9,8%;1.056;118;12,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;60;1;1,0%;64;9;16,1%;124;9;8,2%
40702-BAD GOISERN;63;4;7,5%;70;2;3,2%;133;7;5,2%
40703-BAD ISCHL;147;12;8,7%;196;29;17,1%;343;40;13,3%
40704-EBENSEE;83;6;8,4%;103;10;10,6%;187;16;9,6%
40705-GMUNDEN;162;14;9,4%;186;8;4,5%;348;22;6,7%
40706-GOSAU;24;5;29,8%;13;-2;-13,2%;37;3;10,3%
40707-GRUENAU IM ALMTAL;19;2;11,9%;16;2;13,2%;35;4;12,5%
40708-GSCHWANDT;16;1;4,3%;18;1;6,0%;34;2;5,2%
40709-HALLSTATT;9;1;11,1%;11;0;-1,5%;20;1;3,8%
40710-KIRCHHAM;19;5;33,3%;19;0;1,4%;38;5;15,3%
40711-LAAKIRCHEN;89;-2;-2,1%;93;5;5,4%;182;3;1,6%
40712-OBERTRAUN;9;1;9,6%;4;-1;-16,4%;13;0;-0,6%
40713-OHLSDORF;32;5;17,6%;27;2;6,0%;59;6;12,0%
40714-PINSDORF;36;5;17,3%;37;4;13,8%;72;10;15,5%
40715-ROITHAM;13;2;19,4%;15;4;39,2%;28;6;29,0%
40716-SANKT KONRAD;9;1;19,3%;11;-1;-4,2%;20;1;4,8%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;38;-1;-3,6%;34;2;6,8%;72;1;1,1%
40718-TRAUNKIRCHEN;13;0;1,3%;14;-2;-12,3%;27;-2;-6,4%
40719-SCHARNSTEIN;41;1;2,9%;41;-4;-8,3%;82;-3;-3,0%
40720-VORCHDORF;64;4;6,2%;84;-1;-1,2%;148;3;1,9%
Gesamt;945;66;7,5%;1.055;67;6,8%;2.000;133;7,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;6;1;24,1%;8;1;12,0%;13;2;16,8%
40802-BAD SCHALLERBACH;26;-4;-13,0%;36;4;12,4%;62;0;0,3%
40803-BRUCK-WAASEN;11;1;7,2%;18;-2;-9,4%;29;-1;-3,6%
40804-ESCHENAU IM HAUSRUCKKREIS;6;2;43,4%;13;-1;-4,3%;19;1;7,4%
40805-GALLSPACH;27;-3;-11,0%;45;1;2,5%;72;-2;-3,0%
40806-GASPOLTSHOFEN;26;4;15,6%;35;3;9,5%;61;7;12,0%
40807-GEBOLTSKIRCHEN;12;-4;-24,9%;10;-1;-12,0%;23;-5;-19,4%
40808-GRIESKIRCHEN;51;2;3,1%;66;4;7,2%;117;6;5,4%
40809-HAAG AM HAUSRUCK;20;4;24,5%;20;0;-0,4%;40;4;10,4%
40810-HEILIGENBERG;2;-1;-25,0%;5;-1;-15,4%;6;-1;-18,0%
40811-HOFKIRCHEN AN DER TRATTNACH;9;0;-0,9%;12;-1;-10,4%;21;-2;-6,6%
40812-KALLHAM;18;3;16,0%;18;2;9,0%;36;4;12,4%
40813-KEMATEN AM INNBACH;10;1;9,5%;12;0;-0,7%;21;1;3,7%
40814-MEGGENHOFEN;10;1;7,5%;9;1;8,2%;18;1;7,9%
40815-MICHAELNBACH;6;1;9,1%;11;2;26,0%;17;3;19,3%
40816-NATTERNBACH;20;3;15,8%;30;-1;-3,8%;49;2;3,1%
40817-NEUKIRCHEN AM WALDE;9;-3;-24,5%;28;3;10,0%;37;-1;-1,3%
40818-NEUMARKT IM HAUSRUCKKREIS;17;2;16,6%;19;-1;-5,5%;36;1;3,9%
40819-PEUERBACH;19;6;43,5%;28;6;26,6%;47;12;33,0%
40820-POETTING;3;1;32,0%;3;0;7,1%;5;1;18,9%
40821-POLLHAM;4;-2;-39,7%;3;-2;-33,3%;7;-4;-36,9%
40822-PRAM;13;1;6,4%;16;2;12,9%;29;3;9,9%
40823-ROTTENBACH;9;0;1,9%;9;0;4,0%;17;1;3,0%
40824-SANKT AGATHA;14;-2;-11,3%;19;1;5,6%;33;-1;-2,4%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;7;2;40,0%;7;-1;-13,3%;14;1;8,0%
40826-SANKT THOMAS;3;1;100,0%;2;0;7,7%;5;2;44,2%
40827-SCHLUESZLBERG;27;3;10,0%;31;6;21,5%;59;8;15,8%
40828-STEEGEN;3;-2;-32,8%;9;1;18,2%;12;0;-2,7%
40829-TAUFKIRCHEN AN DER TRATTNACH;14;2;21,5%;15;1;7,0%;29;3;13,4%
40830-TOLLET;4;-2;-31,3%;3;0;3,1%;6;-2;-19,8%
40831-WAIZENKIRCHEN;22;5;32,2%;28;5;20,9%;50;10;25,7%
40832-WALLERN AN DER TRATTNACH;21;0;1,6%;19;-4;-15,8%;40;-3;-7,5%
40833-WEIBERN;7;-4;-33,6%;14;1;7,6%;22;-3;-11,3%
40834-WENDLING;6;2;57,8%;7;0;1,3%;12;2;22,1%
Gesamt;460;20;4,4%;604;29;5,0%;1.064;48;4,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;4;3;250,0%;3;-1;-19,1%;7;2;42,6%
40902-GRUENBURG;34;-5;-12,4%;43;1;2,0%;76;-4;-4,9%
40903-HINTERSTODER;10;0;-2,5%;8;2;23,2%;18;1;8,0%
40904-INZERSDORF IM KREMSTAL;12;0;-0,7%;13;3;26,4%;25;3;11,5%
40905-KIRCHDORF AN DER KREMS;47;6;13,4%;43;-3;-7,4%;89;2;2,4%
40906-KLAUS AN DER PYHRNBAHN;8;1;16,3%;10;0;0,8%;18;1;6,9%
40907-KREMSMUENSTER;56;6;12,7%;56;-5;-7,7%;112;2;1,5%
40908-MICHELDORF IN OBEROESTERREICH;48;2;4,2%;60;3;4,5%;107;5;4,4%
40909-MOLLN;25;-1;-4,1%;26;3;10,8%;51;1;2,9%
40910-NUSZBACH;16;0;0,5%;16;6;56,7%;31;6;22,6%
40911-OBERSCHLIERBACH;1;1;142,9%;4;2;76,0%;5;2;90,6%
40912-PETTENBACH;38;-1;-1,5%;53;9;19,2%;91;8;9,6%
40913-RIED IM TRAUNKREIS;19;2;12,9%;24;9;64,2%;43;12;36,9%
40914-ROSENAU AM HENGSTPASZ;5;-2;-32,6%;6;-2;-24,2%;11;-4;-28,3%
40915-ROSZLEITHEN;17;5;42,7%;11;-1;-7,3%;28;4;18,2%
40916-SANKT PANKRAZ;3;-1;-30,2%;3;0;-7,3%;6;-1;-19,0%
40917-SCHLIERBACH;23;4;21,3%;23;3;13,3%;46;7;17,1%
40918-SPITAL AM PYHRN;17;1;8,9%;20;-1;-4,7%;38;0;1,1%
40919-STEINBACH AM ZIEHBERG;3;-1;-24,5%;4;-2;-30,4%;7;-3;-28,0%
40920-STEINBACH AN DER STEYR;13;2;13,4%;16;5;40,6%;30;6;26,8%
40921-VORDERSTODER;7;-2;-21,9%;6;0;-1,4%;13;-2;-13,8%
40922-WARTBERG AN DER KREMS;22;3;18,6%;28;5;21,2%;49;8;20,1%
40923-WINDISCHGARSTEN;21;0;-1,6%;30;7;29,6%;51;7;14,8%
Gesamt;447;23;5,3%;505;40;8,6%;952;63;7,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.752;109;6,6%;2.647;116;4,6%;4.399;225;5,4%
41601-ALBERNDORF IN DER RIEDMARK;12;3;37,4%;18;2;11,3%;30;5;20,5%
41602-ALTENBERG BEI LINZ;19;5;34,9%;20;0;0,8%;39;5;14,7%
41603-BAD LEONFELDEN;20;-3;-14,3%;23;4;19,5%;43;1;1,2%
41604-EIDENBERG;5;-3;-33,3%;7;2;32,8%;12;-1;-6,4%
41605-ENGERWITZDORF;31;4;12,8%;33;2;6,0%;63;5;9,2%
41606-FELDKIRCHEN AN DER DONAU;24;3;12,7%;27;-3;-9,9%;50;0;-0,5%
41607-GALLNEUKIRCHEN;39;8;27,5%;52;14;36,2%;91;22;32,3%
41608-GOLDWOERTH;4;1;41,2%;5;0;5,0%;9;1;18,1%
41609-GRAMASTETTEN;12;-3;-17,7%;16;-2;-12,9%;28;-5;-15,0%
41610-HAIBACH IM MUEHLKREIS;4;2;113,0%;3;1;25,0%;7;3;64,7%
41611-HELLMONSOEDT;11;3;38,5%;12;2;15,8%;23;5;25,9%
41612-HERZOGSDORF;8;-1;-12,6%;12;0;-2,1%;20;-1;-6,7%
41613-KIRCHSCHLAG BEI LINZ;7;-4;-35,5%;6;-1;-7,9%;13;-4;-25,0%
41614-LICHTENBERG;4;0;-3,6%;5;0;8,3%;10;0;2,6%
41615-OBERNEUKIRCHEN;13;-2;-12,8%;20;-2;-6,9%;33;-3;-9,4%
41616-OTTENSCHLAG IM MUEHLKREIS;0;-1;-100,0%;1;0;-17,6%;1;-2;-56,3%
41617-OTTENSHEIM;19;-1;-5,9%;25;-4;-14,3%;44;-5;-10,9%
41618-PUCHENAU;13;2;15,8%;13;-4;-22,5%;26;-2;-7,2%
41619-REICHENAU IM MUEHLKREIS;7;-3;-30,5%;7;-2;-20,0%;14;-5;-25,4%
41620-REICHENTHAL;7;0;-4,5%;9;-1;-10,7%;16;-1;-8,1%
41621-SANKT GOTTHARD IM MUEHLKREIS;5;1;35,0%;6;-1;-17,2%;11;0;-1,5%
41622-SCHENKENFELDEN;4;-1;-12,3%;6;-2;-23,4%;10;-2;-19,2%
41623-SONNBERG IM MUEHLKREIS;1;-1;-35,3%;2;1;70,6%;3;1;17,6%
41624-STEYREGG;18;-1;-3,6%;26;0;0,3%;44;-1;-1,3%
41625-VORDERWEISZENBACH;5;1;18,8%;11;4;51,2%;16;4;39,6%
41626-WALDING;20;-1;-3,6%;16;3;25,6%;37;3;7,6%
41627-ZWETTL AN DER RODL;10;2;21,8%;11;1;15,6%;21;3;18,6%
Gesamt;2.074;119;6,1%;3.043;129;4,4%;5.118;248;5,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;9;1;19,3%;5;-1;-13,2%;14;1;5,1%
41102-ARBING;7;-2;-17,8%;10;3;39,0%;17;1;6,9%
41103-BAUMGARTENBERG;11;3;38,8%;11;3;42,7%;22;6;40,6%
41104-DIMBACH;5;-1;-12,5%;8;-1;-7,2%;12;-1;-9,3%
41105-GREIN;25;1;4,2%;26;5;25,1%;51;6;13,9%
41106-KATSDORF;21;5;30,2%;15;-1;-8,2%;35;3;10,7%
41107-KLAM;10;5;84,8%;10;3;43,2%;20;8;61,9%
41108-BAD KREUZEN;8;1;8,9%;19;3;20,9%;27;4;17,0%
41109-LANGENSTEIN;17;1;6,8%;33;5;20,0%;49;7;15,1%
41110-LUFTENBERG AN DER DONAU;24;0;0,3%;26;-3;-11,5%;50;-3;-6,2%
41111-MAUTHAUSEN;34;0;0,5%;61;9;16,6%;95;9;10,3%
41112-MITTERKIRCHEN IM MACHLAND;15;3;21,5%;13;2;14,8%;28;4;18,3%
41113-MUENZBACH;7;-3;-29,1%;16;1;6,8%;22;-2;-7,0%
41114-NAARN IM MACHLANDE;24;3;14,5%;25;2;8,3%;49;5;11,2%
41115-PABNEUKIRCHEN;6;-2;-23,1%;13;2;13,2%;19;0;-1,3%
41116-PERG;66;16;32,2%;85;16;23,3%;150;32;27,0%
41117-RECHBERG;5;-1;-9,7%;4;1;28,9%;9;0;5,0%
41118-RIED IN DER RIEDMARK;28;5;19,4%;26;-1;-1,9%;54;4;8,2%
41119-SANKT GEORGEN AM WALDE;9;-3;-25,7%;14;-1;-7,4%;22;-4;-15,6%
41120-SANKT GEORGEN AN DER GUSEN;25;7;37,1%;34;9;35,5%;60;16;36,2%
41121-SANKT NIKOLA AN DER DONAU;9;0;-1,8%;11;1;4,9%;20;0;1,7%
41122-SANKT THOMAS AM BLASENSTEIN;5;1;33,3%;5;1;18,5%;10;2;25,3%
41123-SAXEN;13;5;58,3%;11;0;-2,9%;24;4;22,1%
41124-SCHWERTBERG;45;-4;-7,2%;57;2;4,3%;102;-1;-1,1%
41125-WALDHAUSEN IM STRUDENGAU;26;3;11,2%;26;3;13,6%;52;6;12,4%
41126-WINDHAAG BEI PERG;6;0;-6,6%;12;2;16,5%;18;1;7,6%
Gesamt;457;44;10,7%;572;64;12,6%;1.030;108;11,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;6;1;20,3%;7;1;7,4%;13;2;12,9%
41202-ANTIESENHOFEN;14;4;34,1%;24;7;39,9%;39;11;37,7%
41203-AUROLZMUENSTER;37;6;18,9%;41;5;14,6%;77;11;16,6%
41204-EBERSCHWANG;25;6;31,1%;28;-2;-5,7%;52;4;8,7%
41205-EITZING;2;-2;-41,7%;6;2;55,3%;8;0;6,3%
41206-GEIERSBERG;4;0;-6,0%;8;2;31,0%;12;2;15,7%
41207-GEINBERG;11;-3;-20,5%;13;0;1,3%;24;-3;-10,1%
41208-GURTEN;13;4;38,6%;14;4;36,1%;27;7;37,3%
41209-HOHENZELL;10;3;36,7%;16;4;29,2%;26;6;32,1%
41210-KIRCHDORF AM INN;4;0;-2,2%;5;1;28,9%;9;1;13,3%
41211-KIRCHHEIM IM INNKREIS;3;-1;-21,2%;8;2;27,8%;12;1;8,4%
41212-LAMBRECHTEN;9;-2;-15,7%;12;-1;-4,5%;21;-2;-9,4%
41213-LOHNSBURG AM KOBERNAUSZERWALD;19;4;29,9%;26;-1;-4,0%;45;3;7,9%
41214-MEHRNBACH;18;0;1,9%;24;6;36,8%;42;7;19,3%
41215-METTMACH;23;4;18,5%;28;0;1,5%;51;4;8,6%
41216-MOERSCHWANG;1;-1;-57,1%;1;-1;-36,4%;2;-1;-44,4%
41217-MUEHLHEIM AM INN;6;0;4,8%;5;1;21,6%;11;1;12,3%
41218-NEUHOFEN IM INNKREIS;18;1;7,1%;10;-2;-17,8%;28;-1;-3,5%
41219-OBERNBERG AM INN;24;-3;-10,7%;35;0;-0,7%;58;-3;-5,0%
41220-ORT IM INNKREIS;20;2;9,3%;22;7;48,3%;41;9;26,7%
41221-PATTIGHAM;3;-1;-17,4%;6;1;15,8%;9;0;1,0%
41222-PETERSKIRCHEN;5;0;5,7%;5;-2;-30,4%;9;-2;-15,9%
41223-PRAMET;10;2;18,0%;11;2;23,4%;21;4;20,8%
41224-REICHERSBERG;14;0;-1,2%;11;0;1,6%;24;0;0,0%
41225-RIED IM INNKREIS;152;44;40,5%;167;13;8,7%;319;57;21,9%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;3;-1;-25,5%;6;3;88,9%;9;2;24,1%
