;Arbeitslosigkeit;;;;;;;;
40611-LIEBENAU;9;1;14,4%;12;-1;-4,8%;20;1;2,5%
40612-NEUMARKT IM MUEHLKREIS;20;0;0,0%;28;6;29,2%;48;6;15,5%
40613-PIERBACH;7;3;105,1%;10;-1;-4,6%;17;3;20,6%
40614-PREGARTEN;24;-1;-3,0%;34;-2;-4,7%;58;-2;-4,0%
40615-RAINBACH IM MUEHLKREIS;19;3;22,4%;29;2;7,0%;48;5;12,5%
40616-SANDL;15;5;48,7%;17;1;4,7%;32;6;21,5%
40617-SANKT LEONHARD BEI FREISTADT;6;-1;-14,4%;10;4;56,4%;17;3;18,5%
40618-SANKT OSWALD BEI FREISTADT;20;3;17,5%;25;-1;-2,9%;44;2;5,1%
40619-SCHOENAU IM MUEHLKREIS;9;1;12,0%;15;0;-1,7%;24;1;3,2%
40620-TRAGWEIN;23;7;40,4%;20;-1;-3,7%;43;6;16,0%
40621-UNTERWEISZENBACH;15;4;43,8%;21;1;6,2%;36;6;18,8%
40622-UNTERWEITERSDORF;9;0;-1,8%;9;0;5,1%;18;0;1,4%
40623-WALDBURG;6;1;16,1%;6;-2;-19,8%;12;-1;-5,2%
40624-WARTBERG OB DER AIST;26;-1;-3,2%;21;4;22,5%;46;3;6,9%
40625-WEITERSFELDEN;6;1;24,6%;6;1;23,3%;13;2;24,0%
40626-WINDHAAG BEI FREISTADT;7;-2;-22,9%;28;5;23,7%;35;3;10,8%
40627-BAD ZELL;14;0;-1,2%;15;2;11,5%;28;1;4,9%
Gesamt;420;47;12,6%;518;38;7,8%;938;85;9,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;60;-3;-5,0%;55;-3;-4,6%;115;-6;-4,8%
40702-BAD GOISERN;59;-3;-4,3%;68;7;12,3%;127;5;3,9%
40703-BAD ISCHL;135;10;8,1%;167;25;17,2%;302;35;13,0%
40704-EBENSEE;77;9;13,4%;94;8;9,0%;170;17;11,0%
40705-GMUNDEN;148;21;16,3%;178;16;9,7%;326;37;12,6%
40706-GOSAU;18;-1;-6,8%;15;2;13,0%;33;0;1,3%
40707-GRUENAU IM ALMTAL;17;-1;-5,6%;15;-2;-13,4%;31;-3;-9,4%
40708-GSCHWANDT;15;1;5,1%;17;0;2,6%;32;1;3,8%
40709-HALLSTATT;8;-1;-7,5%;11;2;25,0%;20;2;8,8%
40710-KIRCHHAM;14;-3;-14,9%;19;-1;-3,1%;33;-3;-8,6%
40711-LAAKIRCHEN;91;5;5,3%;88;9;10,7%;179;13;7,9%
40712-OBERTRAUN;8;1;14,6%;5;1;38,6%;13;2;23,0%
40713-OHLSDORF;28;-5;-14,5%;25;5;23,3%;53;0;0,2%
40714-PINSDORF;30;0;0,6%;32;0;0,3%;62;0;0,4%
40715-ROITHAM;11;1;4,7%;10;-2;-16,1%;22;-2;-6,5%
40716-SANKT KONRAD;7;2;33,3%;12;4;54,3%;19;6;45,6%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;40;-1;-3,1%;32;7;29,3%;71;6;9,1%
40718-TRAUNKIRCHEN;13;4;48,5%;16;2;16,1%;29;6;28,3%
40719-SCHARNSTEIN;40;2;4,4%;44;-1;-1,8%;84;1;1,0%
40720-VORCHDORF;60;-4;-6,1%;85;5;6,4%;145;1;0,8%
Gesamt;879;35;4,1%;988;86;9,5%;1.867;120;6,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;5;1;17,4%;7;-1;-13,5%;11;0;-3,5%
40802-BAD SCHALLERBACH;30;9;45,1%;32;1;2,4%;62;10;19,1%
40803-BRUCK-WAASEN;10;2;25,0%;20;5;32,0%;30;7;29,5%
40804-ESCHENAU IM HAUSRUCKKREIS;4;1;23,3%;14;1;6,6%;18;2;10,3%
40805-GALLSPACH;30;4;13,0%;44;7;17,9%;74;10;15,8%
40806-GASPOLTSHOFEN;22;1;6,7%;32;4;16,2%;54;6;12,1%
40807-GEBOLTSKIRCHEN;16;3;26,1%;12;1;11,8%;28;5;19,6%
40808-GRIESKIRCHEN;49;10;24,2%;61;3;5,6%;111;13;13,1%
40809-HAAG AM HAUSRUCK;16;0;-2,6%;20;-1;-2,4%;36;-1;-2,5%
40810-HEILIGENBERG;2;-1;-22,6%;5;-2;-23,5%;7;-2;-23,3%
40811-HOFKIRCHEN AN DER TRATTNACH;9;1;5,8%;14;1;4,5%;23;1;5,0%
40812-KALLHAM;16;-2;-9,2%;17;4;28,2%;32;2;6,9%
40813-KEMATEN AM INNBACH;9;3;41,9%;12;2;22,8%;20;5;30,3%
40814-MEGGENHOFEN;9;2;20,5%;8;2;29,3%;17;3;24,5%
40815-MICHAELNBACH;6;0;1,5%;8;0;-2,9%;14;0;-1,2%
40816-NATTERNBACH;17;1;9,1%;31;6;21,7%;48;7;16,9%
40817-NEUKIRCHEN AM WALDE;12;2;18,5%;25;-2;-6,2%;37;0;0,7%
40818-NEUMARKT IM HAUSRUCKKREIS;15;1;10,8%;20;0;-0,8%;34;1;3,8%
40819-PEUERBACH;13;3;22,9%;22;3;16,4%;35;6;18,8%
40820-POETTING;2;-2;-43,2%;2;-1;-17,6%;4;-2;-32,1%
40821-POLLHAM;6;3;69,8%;5;0;0,0%;11;3;30,0%
40822-PRAM;12;3;39,6%;14;1;6,2%;26;4;19,1%
40823-ROTTENBACH;9;4;74,6%;8;1;19,3%;17;5;42,3%
40824-SANKT AGATHA;16;5;43,4%;18;2;15,5%;34;7;27,2%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;5;0;1,7%;8;1;23,3%;13;2;13,6%
40826-SANKT THOMAS;1;-1;-34,6%;2;-1;-39,5%;4;-2;-37,7%
40827-SCHLUESZLBERG;25;3;13,7%;26;0;-0,6%;51;3;5,9%
40828-STEEGEN;5;3;177,3%;7;-1;-12,0%;12;2;22,1%
40829-TAUFKIRCHEN AN DER TRATTNACH;11;-3;-20,6%;14;-1;-5,5%;26;-4;-12,8%
40830-TOLLET;5;0;-4,5%;3;0;-8,6%;8;-1;-5,9%
40831-WAIZENKIRCHEN;17;0;0,5%;23;2;8,6%;40;2;5,0%
40832-WALLERN AN DER TRATTNACH;21;-1;-2,3%;23;5;28,3%;44;5;11,5%
40833-WEIBERN;11;3;44,1%;13;3;24,6%;24;6;32,9%
40834-WENDLING;4;-1;-27,4%;6;0;-3,8%;10;-2;-14,1%
Gesamt;440;57;14,9%;576;45;8,4%;1.016;102;11,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;1;-1;-30,0%;4;0;9,3%;5;0;-3,2%
40902-GRUENBURG;38;10;35,3%;42;-7;-14,4%;80;3;3,8%
40903-HINTERSTODER;10;0;0,0%;7;2;43,9%;17;2;14,3%
40904-INZERSDORF IM KREMSTAL;12;3;29,8%;10;1;9,0%;22;4;19,6%
40905-KIRCHDORF AN DER KREMS;41;6;17,9%;46;5;13,1%;87;12;15,3%
40906-KLAUS AN DER PYHRNBAHN;7;-4;-36,5%;10;2;24,0%;17;-2;-9,7%
40907-KREMSMUENSTER;50;14;37,8%;61;7;12,3%;111;20;22,5%
40908-MICHELDORF IN OBEROESTERREICH;46;3;7,6%;57;8;16,5%;103;11;12,4%
40909-MOLLN;26;1;5,3%;23;-1;-5,5%;50;0;0,0%
40910-NUSZBACH;15;3;20,1%;10;2;27,7%;25;5;23,0%
40911-OBERSCHLIERBACH;1;-1;-56,3%;2;1;66,7%;3;0;3,2%
40912-PETTENBACH;39;1;2,7%;44;-2;-4,3%;83;-1;-1,2%
40913-RIED IM TRAUNKREIS;17;5;36,7%;15;-5;-23,8%;31;0;-0,3%
40914-ROSENAU AM HENGSTPASZ;7;3;64,8%;8;0;5,8%;15;3;28,6%
40915-ROSZLEITHEN;12;2;20,2%;11;1;6,2%;23;3;12,9%
40916-SANKT PANKRAZ;4;2;72,0%;3;2;141,2%;7;4;100,0%
40917-SCHLIERBACH;19;4;25,0%;21;-1;-5,7%;39;3;6,8%
40918-SPITAL AM PYHRN;16;2;11,7%;21;6;42,0%;37;8;27,3%
40919-STEINBACH AM ZIEHBERG;4;1;44,1%;6;3;91,7%;10;4;68,6%
40920-STEINBACH AN DER STEYR;12;-1;-5,3%;12;1;10,4%;23;0;1,8%
40921-VORDERSTODER;9;2;26,5%;6;0;-1,4%;15;2;13,7%
40922-WARTBERG AN DER KREMS;18;2;10,6%;23;-3;-10,2%;41;-1;-2,0%
40923-WINDISCHGARSTEN;21;3;15,5%;23;4;20,7%;44;7;18,2%
Gesamt;425;60;16,3%;465;27;6,1%;890;86;10,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;1.643;7;0,4%;2.531;-72;-2,8%;4.174;-65;-1,5%
41601-ALBERNDORF IN DER RIEDMARK;9;-7;-43,1%;16;1;9,6%;25;-5;-17,5%
41602-ALTENBERG BEI LINZ;14;-5;-26,5%;20;0;0,0%;34;-5;-12,8%
41603-BAD LEONFELDEN;23;1;4,2%;19;-8;-28,7%;42;-7;-14,0%
41604-EIDENBERG;8;3;52,5%;5;2;45,5%;13;4;49,5%
41605-ENGERWITZDORF;27;-2;-6,3%;31;-5;-13,6%;58;-7;-10,3%
41606-FELDKIRCHEN AN DER DONAU;21;-3;-13,1%;30;4;13,5%;51;0;0,7%
41607-GALLNEUKIRCHEN;30;-5;-13,3%;38;-10;-21,0%;69;-15;-17,8%
41608-GOLDWOERTH;3;0;0,0%;5;0;-1,6%;8;0;-1,1%
41609-GRAMASTETTEN;15;-1;-5,9%;19;2;12,0%;33;1;3,4%
41610-HAIBACH IM MUEHLKREIS;2;-2;-48,9%;2;0;3,7%;4;-2;-29,2%
41611-HELLMONSOEDT;8;-1;-10,3%;10;-2;-17,8%;18;-3;-14,6%
41612-HERZOGSDORF;9;2;19,4%;12;1;9,1%;21;3;13,3%
41613-KIRCHSCHLAG BEI LINZ;10;5;82,4%;6;-2;-20,8%;17;3;22,0%
41614-LICHTENBERG;5;-1;-15,4%;5;-2;-29,4%;10;-3;-23,3%
41615-OBERNEUKIRCHEN;15;-2;-10,5%;22;3;17,2%;37;1;4,0%
41616-OTTENSCHLAG IM MUEHLKREIS;1;0;50,0%;1;0;41,7%;3;1;45,5%
41617-OTTENSHEIM;20;0;-1,2%;29;4;17,9%;49;4;9,3%
41618-PUCHENAU;11;-5;-31,8%;17;-1;-4,8%;28;-6;-17,8%
41619-REICHENAU IM MUEHLKREIS;10;1;16,8%;9;0;4,8%;19;2;10,7%
41620-REICHENTHAL;7;2;34,8%;10;0;-4,0%;18;2;9,4%
41621-SANKT GOTTHARD IM MUEHLKREIS;3;-5;-61,9%;8;2;27,4%;11;-4;-25,3%
41622-SCHENKENFELDEN;5;1;14,0%;8;0;-3,1%;13;0;2,7%
41623-SONNBERG IM MUEHLKREIS;1;0;6,3%;1;0;-15,0%;3;0;-5,6%
41624-STEYREGG;19;0;-0,9%;26;1;3,6%;45;1;1,7%
41625-VORDERWEISZENBACH;4;-1;-21,3%;7;-4;-38,1%;11;-6;-33,0%
41626-WALDING;21;-4;-16,0%;13;-2;-14,3%;34;-6;-15,4%
41627-ZWETTL AN DER RODL;8;-3;-24,6%;9;-1;-9,2%;18;-4;-17,3%
Gesamt;1.955;-23;-1,1%;2.915;-86;-2,9%;4.870;-108;-2,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;7;-1;-14,6%;6;-1;-11,7%;13;-2;-13,3%
41102-ARBING;9;2;24,4%;7;1;7,9%;16;2;16,7%
41103-BAUMGARTENBERG;8;1;21,0%;7;0;-1,1%;16;1;9,4%
41104-DIMBACH;5;0;-7,2%;8;-1;-11,8%;13;-2;-10,1%
41105-GREIN;24;0;0,4%;21;-3;-13,0%;44;-3;-6,3%
41106-KATSDORF;16;3;26,8%;16;0;0,5%;32;3;12,0%
41107-KLAM;6;-1;-8,3%;7;0;-1,2%;12;-1;-4,5%
41108-BAD KREUZEN;8;0;0,0%;16;1;7,5%;23;1;4,9%
41109-LANGENSTEIN;16;-2;-9,1%;27;0;-1,5%;43;-2;-4,5%
41110-LUFTENBERG AN DER DONAU;24;0;-1,4%;29;5;20,1%;53;5;9,3%
41111-MAUTHAUSEN;34;2;6,0%;53;-2;-4,0%;86;0;-0,3%
41112-MITTERKIRCHEN IM MACHLAND;12;-1;-7,1%;11;-1;-11,2%;23;-2;-9,1%
41113-MUENZBACH;9;0;1,9%;15;3;20,4%;24;3;12,5%
41114-NAARN IM MACHLANDE;21;5;27,8%;23;-5;-17,5%;44;0;-0,9%
41115-PABNEUKIRCHEN;8;2;37,9%;11;2;17,2%;19;4;24,7%
41116-PERG;50;3;6,2%;69;4;6,5%;118;7;6,4%
41117-RECHBERG;5;1;19,2%;3;0;-11,6%;8;0;5,3%
41118-RIED IN DER RIEDMARK;24;0;-1,4%;26;0;0,3%;50;0;-0,5%
41119-SANKT GEORGEN AM WALDE;12;0;-2,8%;15;0;-2,2%;26;-1;-2,5%
41120-SANKT GEORGEN AN DER GUSEN;18;-4;-16,3%;25;-2;-6,2%;44;-5;-10,7%
41121-SANKT NIKOLA AN DER DONAU;9;0;0,9%;10;-2;-14,6%;20;-2;-7,9%
41122-SANKT THOMAS AM BLASENSTEIN;4;0;-4,3%;5;0;-5,3%;8;0;-4,8%
41123-SAXEN;8;-3;-24,4%;12;-3;-21,0%;20;-6;-22,4%
41124-SCHWERTBERG;49;16;46,6%;55;4;7,7%;104;19;23,1%
41125-WALDHAUSEN IM STRUDENGAU;23;-7;-23,3%;23;-4;-15,2%;46;-11;-19,5%
41126-WINDHAAG BEI PERG;6;-1;-14,6%;10;-1;-12,3%;16;-3;-13,2%
Gesamt;413;15;3,7%;508;-8;-1,5%;922;7;0,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;5;0;-7,8%;7;-2;-23,6%;12;-3;-17,6%
41202-ANTIESENHOFEN;11;-1;-7,9%;17;-4;-19,4%;28;-5;-15,3%
41203-AUROLZMUENSTER;31;-7;-17,4%;35;-11;-23,5%;66;-17;-20,8%
41204-EBERSCHWANG;19;-9;-31,6%;29;-9;-24,4%;48;-18;-27,4%
41205-EITZING;4;-2;-27,3%;4;1;23,7%;8;-1;-8,7%
41206-GEIERSBERG;4;-2;-32,4%;6;0;-5,3%;10;-2;-18,8%
41207-GEINBERG;14;0;-1,7%;13;-2;-13,9%;27;-2;-7,9%
41208-GURTEN;10;-2;-20,3%;10;-1;-9,0%;20;-3;-14,8%
41209-HOHENZELL;8;-4;-34,8%;12;-1;-7,7%;20;-5;-20,4%
41210-KIRCHDORF AM INN;4;-1;-11,8%;4;-3;-45,1%;8;-4;-32,3%
41211-KIRCHHEIM IM INNKREIS;4;2;52,9%;7;1;8,2%;11;2;22,4%
41212-LAMBRECHTEN;10;-1;-11,7%;13;0;-1,9%;23;-2;-6,4%
41213-LOHNSBURG AM KOBERNAUSZERWALD;15;-1;-7,0%;27;2;8,1%;41;1;2,3%
41214-MEHRNBACH;18;-2;-10,6%;17;-6;-24,0%;35;-8;-17,8%
41215-METTMACH;19;-1;-6,4%;27;2;6,9%;47;0;0,9%
41216-MOERSCHWANG;1;0;40,0%;2;0;-8,3%;3;0;5,9%
41217-MUEHLHEIM AM INN;5;-1;-14,9%;4;-1;-25,0%;10;-2;-19,7%
41218-NEUHOFEN IM INNKREIS;16;0;-2,0%;12;-2;-15,6%;29;-3;-8,3%
41219-OBERNBERG AM INN;26;2;8,2%;35;5;18,4%;61;7;13,8%
41220-ORT IM INNKREIS;18;1;6,9%;15;-2;-14,3%;33;-1;-3,7%
41221-PATTIGHAM;4;-1;-25,8%;5;-2;-29,6%;9;-3;-28,0%
41222-PETERSKIRCHEN;4;-2;-33,8%;7;1;8,2%;11;-2;-13,7%
41223-PRAMET;8;-1;-13,0%;9;-1;-7,8%;17;-2;-10,4%
