;Arbeitslosigkeit;;;;;;;;
40436-SANKT JOHANN AM WALDE;14;2;15,1%;30;4;15,5%;44;6;15,4%
40437-SANKT PANTALEON;34;-3;-7,7%;43;-1;-1,2%;77;-3;-4,1%
40438-SANKT PETER AM HART;17;-2;-10,4%;15;-4;-18,8%;32;-6;-14,5%
40439-SANKT RADEGUND;2;0;-9,7%;5;2;60,0%;8;2;29,6%
40440-SANKT VEIT IM INNKREIS;5;2;80,0%;3;-1;-15,8%;8;2;30,1%
40441-SCHALCHEN;35;-1;-3,5%;47;6;13,8%;82;5;5,8%
40442-SCHWAND IM INNKREIS;2;-1;-35,0%;3;-1;-31,4%;5;-3;-33,0%
40443-TARSDORF;13;3;28,7%;12;-1;-5,1%;25;2;9,7%
40444-TREUBACH;4;-1;-27,0%;3;1;18,8%;7;-1;-11,6%
40445-UEBERACKERN;2;-2;-50,0%;1;0;7,1%;3;-2;-37,9%
40446-WENG IM INNKREIS;10;-2;-12,6%;10;2;27,8%;20;1;3,0%
Gesamt;943;-26;-2,7%;1.135;79;7,5%;2.079;53;2,6%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;33;-3;-8,4%;39;0;0,4%;72;-3;-3,8%
40502-ASCHACH AN DER DONAU;22;4;25,6%;27;5;23,1%;48;9;24,2%
40503-EFERDING;34;-7;-16,0%;44;1;1,3%;78;-6;-7,0%
40504-FRAHAM;15;2;18,4%;17;0;-2,3%;32;2;6,3%
40505-HAIBACH OB DER DONAU;6;-2;-21,6%;10;1;15,0%;16;-1;-3,0%
40506-HARTKIRCHEN;17;-3;-13,3%;27;0;0,3%;44;-3;-5,6%
40507-HINZENBACH;15;3;24,3%;15;-1;-8,0%;30;2;5,5%
40508-PRAMBACHKIRCHEN;22;5;29,2%;23;-1;-3,8%;45;4;9,8%
40509-PUPPING;12;3;28,8%;11;0;-2,1%;23;2;11,6%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;13;1;4,8%;20;5;29,7%;33;5;18,7%
40511-SCHARTEN;11;-3;-20,5%;23;3;12,9%;35;0;-0,7%
40512-STROHEIM;6;-2;-28,0%;11;-2;-17,8%;17;-5;-21,7%
Gesamt;206;-1;-0,6%;267;9;3,5%;474;8;1,6%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;88;-1;-1,6%;103;3;3,0%;191;2;0,8%
40602-GRUENBACH;11;-3;-23,2%;18;3;20,0%;28;0;-1,2%
40603-GUTAU;16;-4;-18,0%;16;-2;-12,6%;32;-6;-15,4%
40604-HAGENBERG IM MUEHLKREIS;17;0;1,5%;13;-1;-7,9%;29;-1;-2,8%
40605-HIRSCHBACH IM MUEHLKREIS;4;1;35,1%;6;-2;-28,3%;10;-1;-10,1%
40606-KALTENBERG;2;-1;-22,2%;6;0;-2,5%;8;-1;-7,5%
40607-KEFERMARKT;9;-3;-26,8%;15;-2;-9,4%;24;-5;-17,1%
40608-KOENIGSWIESEN;19;3;21,5%;30;3;9,4%;49;6;13,8%
40609-LASBERG;16;2;16,9%;23;0;-0,7%;38;2;5,7%
40610-LEOPOLDSCHLAG;4;-1;-16,4%;13;-3;-20,0%;17;-4;-19,1%
40611-LIEBENAU;10;1;12,6%;10;0;-4,1%;19;1;3,6%
40612-NEUMARKT IM MUEHLKREIS;19;3;15,5%;17;-6;-25,2%;35;-3;-8,2%
40613-PIERBACH;7;3;64,7%;11;0;-0,8%;18;3;17,4%
40614-PREGARTEN;32;2;6,6%;35;1;2,4%;67;3;4,4%
40615-RAINBACH IM MUEHLKREIS;24;3;15,6%;27;0;-0,6%;51;3;6,5%
40616-SANDL;10;-2;-15,9%;19;-1;-2,6%;29;-2;-7,7%
40617-SANKT LEONHARD BEI FREISTADT;7;-1;-7,9%;6;-3;-29,7%;13;-3;-19,5%
40618-SANKT OSWALD BEI FREISTADT;26;-1;-4,6%;19;-4;-17,1%;45;-5;-10,4%
40619-SCHOENAU IM MUEHLKREIS;11;3;30,7%;13;-2;-12,3%;24;1;3,7%
40620-TRAGWEIN;21;3;15,7%;24;3;12,3%;44;5;13,9%
40621-UNTERWEISZENBACH;13;2;19,8%;16;-4;-19,2%;29;-2;-5,7%
40622-UNTERWEITERSDORF;11;0;3,9%;11;0;0,8%;22;1;2,3%
40623-WALDBURG;8;1;8,6%;6;0;-1,3%;15;1;4,1%
40624-WARTBERG OB DER AIST;27;5;20,8%;20;-1;-3,2%;47;4;9,1%
40625-WEITERSFELDEN;9;-2;-17,6%;12;2;23,5%;20;0;2,1%
40626-WINDHAAG BEI FREISTADT;7;0;-4,7%;17;-4;-18,9%;24;-4;-15,3%
40627-BAD ZELL;15;1;7,8%;19;-1;-5,3%;34;0;0,0%
Gesamt;441;14;3,3%;522;-21;-3,9%;963;-7;-0,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Gmunden (mit ZWS) 404;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40701-ALTMUENSTER;57;3;4,6%;71;6;8,8%;128;8;6,9%
40702-BAD GOISERN;55;2;4,4%;63;2;2,6%;118;4;3,4%
40703-BAD ISCHL;118;7;6,2%;162;17;11,9%;280;24;9,4%
40704-EBENSEE;64;7;12,0%;95;15;19,3%;159;22;16,2%
40705-GMUNDEN;130;4;3,2%;178;10;5,9%;308;14;4,8%
40706-GOSAU;20;-2;-8,8%;13;4;38,8%;33;2;5,8%
40707-GRUENAU IM ALMTAL;15;0;-2,6%;20;1;2,6%;35;0;0,2%
40708-GSCHWANDT;17;3;20,7%;20;3;17,3%;37;6;18,8%
40709-HALLSTATT;9;2;25,0%;6;1;9,1%;15;2;18,2%
40710-KIRCHHAM;8;0;0,0%;15;1;3,5%;23;1;2,2%
40711-LAAKIRCHEN;86;5;6,3%;122;14;13,1%;208;19;10,2%
40712-OBERTRAUN;4;0;-8,7%;6;1;13,1%;9;0;3,7%
40713-OHLSDORF;32;0;-1,3%;41;8;24,8%;73;8;12,0%
40714-PINSDORF;30;1;3,4%;42;5;14,6%;73;6;9,7%
40715-ROITHAM;14;2;16,0%;13;4;41,6%;27;6;27,2%
40716-SANKT KONRAD;8;3;78,8%;9;1;13,4%;17;5;36,2%
40717-SANKT WOLFGANG IM SALZKAMMERGUT;36;2;4,4%;29;3;12,9%;65;5;8,1%
40718-TRAUNKIRCHEN;15;0;2,9%;14;1;8,6%;29;2;5,5%
40719-SCHARNSTEIN;39;5;13,7%;53;9;19,3%;91;13;16,9%
40720-VORCHDORF;69;4;5,7%;94;14;16,8%;163;17;11,8%
Gesamt;824;46;5,9%;1.066;118;12,4%;1.890;164;9,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Grieskirchen 406;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40801-AISTERSHEIM;4;-2;-29,7%;6;0;-3,9%;10;-2;-15,6%
40802-BAD SCHALLERBACH;25;0;-1,3%;46;9;24,5%;71;9;14,0%
40803-BRUCK-WAASEN;11;2;28,4%;15;-1;-4,7%;26;2;6,8%
40804-ESCHENAU IM HAUSRUCKKREIS;5;-1;-9,7%;11;0;-1,5%;16;-1;-4,1%
40805-GALLSPACH;30;-2;-6,1%;48;-1;-1,2%;77;-3;-3,1%
40806-GASPOLTSHOFEN;23;3;12,8%;35;-2;-5,4%;58;1;1,0%
40807-GEBOLTSKIRCHEN;12;1;5,0%;16;-1;-4,5%;28;0;-0,6%
40808-GRIESKIRCHEN;46;7;17,7%;55;1;1,2%;101;8;8,1%
40809-HAAG AM HAUSRUCK;15;1;6,7%;17;0;1,0%;32;1;3,5%
40810-HEILIGENBERG;3;0;8,3%;5;1;23,4%;8;1;16,9%
40811-HOFKIRCHEN AN DER TRATTNACH;9;0;0,0%;12;-3;-21,0%;21;-3;-12,9%
40812-KALLHAM;12;-5;-28,9%;25;6;29,2%;37;1;2,1%
40813-KEMATEN AM INNBACH;12;2;20,0%;11;3;35,7%;23;5;27,1%
40814-MEGGENHOFEN;9;-2;-14,1%;6;-3;-31,4%;15;-4;-21,9%
40815-MICHAELNBACH;6;1;21,8%;7;-1;-11,8%;12;0;0,7%
40816-NATTERNBACH;17;1;6,8%;27;3;10,7%;44;4;9,2%
40817-NEUKIRCHEN AM WALDE;11;2;23,5%;21;2;9,2%;31;4;13,6%
40818-NEUMARKT IM HAUSRUCKKREIS;19;4;24,9%;21;-1;-5,7%;40;3;6,8%
40819-PEUERBACH;17;0;0,0%;17;-4;-20,0%;34;-4;-11,2%
40820-POETTING;1;1;70,0%;2;-1;-44,7%;3;-1;-20,8%
40821-POLLHAM;6;-1;-17,2%;4;-3;-37,8%;10;-4;-27,2%
40822-PRAM;14;3;24,1%;18;0;2,4%;32;3;10,8%
40823-ROTTENBACH;5;-2;-22,2%;8;1;12,5%;13;-1;-5,0%
40824-SANKT AGATHA;15;3;26,4%;13;-1;-5,9%;28;2;8,7%
40825-SANKT GEORGEN BEI GRIESKIRCHEN;6;0;-2,6%;4;-1;-19,0%;11;-1;-10,0%
40826-SANKT THOMAS;5;2;58,3%;3;1;85,0%;8;3;67,9%
40827-SCHLUESZLBERG;25;0;-0,3%;24;-4;-14,3%;50;-4;-7,7%
40828-STEEGEN;5;-3;-36,7%;9;3;41,0%;14;0;-0,6%
40829-TAUFKIRCHEN AN DER TRATTNACH;10;-2;-16,7%;15;1;10,7%;25;-1;-2,6%
40830-TOLLET;3;-2;-39,3%;4;-1;-21,4%;7;-3;-30,4%
40831-WAIZENKIRCHEN;22;-1;-3,6%;26;3;15,3%;48;3;5,7%
40832-WALLERN AN DER TRATTNACH;14;-3;-16,7%;19;2;11,6%;33;-1;-2,2%
40833-WEIBERN;7;0;3,5%;7;0;-3,3%;15;0;0,0%
40834-WENDLING;4;1;50,0%;5;-2;-28,4%;9;-1;-5,2%
Gesamt;427;9;2,2%;562;6;1,1%;989;15;1,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Kirchdorf/Krems 407;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40901-EDLBACH;6;1;20,3%;4;0;2,2%;10;1;12,7%
40902-GRUENBURG;41;4;11,8%;43;0;-0,8%;84;4;5,0%
40903-HINTERSTODER;8;0;-3,0%;7;2;28,8%;15;1;9,6%
40904-INZERSDORF IM KREMSTAL;13;1;8,5%;19;2;11,3%;32;3;10,1%
40905-KIRCHDORF AN DER KREMS;48;4;9,2%;52;0;0,6%;100;4;4,5%
40906-KLAUS AN DER PYHRNBAHN;7;1;17,1%;11;1;15,3%;18;3;16,0%
40907-KREMSMUENSTER;55;3;5,9%;67;-1;-1,7%;122;2;1,6%
40908-MICHELDORF IN OBEROESTERREICH;57;-2;-3,1%;65;1;2,0%;122;-1;-0,5%
40909-MOLLN;23;-1;-2,8%;30;8;33,3%;54;7;14,8%
40910-NUSZBACH;16;1;7,5%;14;-2;-13,6%;29;-1;-3,6%
40911-OBERSCHLIERBACH;5;-1;-11,1%;3;-1;-21,7%;8;-1;-15,6%
40912-PETTENBACH;43;2;4,0%;54;5;10,9%;98;7;7,7%
40913-RIED IM TRAUNKREIS;23;6;37,3%;26;-1;-3,1%;49;6;12,6%
40914-ROSENAU AM HENGSTPASZ;8;2;22,2%;5;-1;-14,1%;13;1;6,2%
40915-ROSZLEITHEN;15;5;50,4%;18;3;20,2%;33;8;32,3%
40916-SANKT PANKRAZ;4;0;-6,7%;2;-2;-53,3%;5;-2;-30,0%
40917-SCHLIERBACH;18;-2;-9,6%;18;-4;-17,7%;36;-6;-13,9%
40918-SPITAL AM PYHRN;23;0;0,0%;21;-1;-4,5%;44;-1;-2,2%
40919-STEINBACH AM ZIEHBERG;4;1;32,4%;5;-2;-30,0%;8;-1;-11,4%
40920-STEINBACH AN DER STEYR;14;-4;-21,5%;17;-1;-6,5%;31;-5;-13,9%
40921-VORDERSTODER;6;0;6,3%;5;-1;-16,9%;11;-1;-6,4%
40922-WARTBERG AN DER KREMS;21;2;11,8%;25;2;6,9%;45;4;9,1%
40923-WINDISCHGARSTEN;17;1;6,2%;19;0;-0,4%;36;1;2,6%
Gesamt;474;25;5,7%;529;7;1,3%;1.002;32;3,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Linz 409;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40101-LINZ;2.072;296;16,7%;2.989;426;16,6%;5.061;722;16,6%
41601-ALBERNDORF IN DER RIEDMARK;15;-1;-3,2%;19;2;8,5%;34;1;3,0%
41602-ALTENBERG BEI LINZ;14;1;7,6%;20;4;25,8%;34;5;17,6%
41603-BAD LEONFELDEN;22;3;15,3%;24;5;25,2%;46;8;20,2%
41604-EIDENBERG;6;1;17,2%;12;5;63,5%;17;5;44,8%
41605-ENGERWITZDORF;37;5;14,6%;42;9;26,1%;79;13;20,4%
41606-FELDKIRCHEN AN DER DONAU;27;5;21,7%;28;7;33,9%;55;12;27,6%
41607-GALLNEUKIRCHEN;26;2;7,6%;39;-2;-4,9%;65;0;-0,3%
41608-GOLDWOERTH;4;3;150,0%;6;1;11,9%;10;3;43,7%
41609-GRAMASTETTEN;18;1;3,4%;20;6;37,9%;38;6;19,2%
41610-HAIBACH IM MUEHLKREIS;5;2;50,0%;3;-1;-27,3%;8;1;9,5%
41611-HELLMONSOEDT;8;-4;-34,9%;14;3;25,9%;22;-1;-5,7%
41612-HERZOGSDORF;9;1;7,8%;11;0;-2,9%;20;0;1,7%
41613-KIRCHSCHLAG BEI LINZ;12;3;35,2%;9;-1;-9,1%;21;2;11,8%
41614-LICHTENBERG;8;1;14,3%;10;1;17,3%;18;2;15,9%
41615-OBERNEUKIRCHEN;14;5;52,3%;13;0;-1,2%;27;5;20,1%
41616-OTTENSCHLAG IM MUEHLKREIS;1;-2;-60,0%;4;2;113,6%;5;0;7,0%
41617-OTTENSHEIM;21;1;6,6%;27;7;36,9%;48;9;21,6%
41618-PUCHENAU;17;-1;-7,2%;22;5;26,8%;39;3;9,1%
41619-REICHENAU IM MUEHLKREIS;7;-1;-10,0%;9;0;-0,9%;16;-1;-5,1%
41620-REICHENTHAL;6;-2;-25,6%;8;0;-2,0%;14;-2;-13,3%
41621-SANKT GOTTHARD IM MUEHLKREIS;6;1;12,5%;9;3;50,7%;15;4;32,3%
41622-SCHENKENFELDEN;5;2;48,6%;4;-1;-14,0%;9;1;10,6%
41623-SONNBERG IM MUEHLKREIS;3;-1;-27,9%;2;-1;-25,7%;5;-2;-26,9%
41624-STEYREGG;24;-1;-5,6%;37;6;18,9%;61;4;7,8%
41625-VORDERWEISZENBACH;6;0;4,1%;8;0;3,1%;15;1;3,5%
41626-WALDING;22;7;48,9%;16;1;7,7%;38;8;27,8%
41627-ZWETTL AN DER RODL;8;0;1,0%;12;1;10,5%;21;1;6,5%
Gesamt;2.422;325;15,5%;3.417;486;16,6%;5.839;811;16,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Perg 411;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41101-ALLERHEILIGEN IM MUEHLKREIS;9;3;43,6%;7;-2;-19,6%;16;1;7,8%
41102-ARBING;11;0;4,1%;12;-2;-17,0%;22;-2;-8,2%
41103-BAUMGARTENBERG;12;1;13,8%;10;-1;-11,5%;21;0;0,8%
41104-DIMBACH;4;-1;-21,3%;10;1;6,1%;14;-1;-3,4%
41105-GREIN;28;3;13,9%;29;3;9,7%;57;6;11,8%
41106-KATSDORF;15;-2;-12,3%;17;-1;-6,4%;32;-3;-9,2%
41107-KLAM;5;-2;-29,9%;5;-2;-29,2%;10;-4;-29,5%
41108-BAD KREUZEN;12;3;28,4%;15;-5;-24,2%;27;-2;-7,5%
41109-LANGENSTEIN;19;1;2,7%;22;-3;-12,4%;41;-3;-6,0%
41110-LUFTENBERG AN DER DONAU;23;-4;-15,5%;29;-1;-3,6%;52;-5;-9,3%
41111-MAUTHAUSEN;47;-2;-4,3%;58;-4;-6,0%;104;-6;-5,2%
41112-MITTERKIRCHEN IM MACHLAND;13;0;-3,1%;14;4;43,4%;27;4;15,9%
41113-MUENZBACH;9;2;20,7%;13;1;9,4%;22;3;13,9%
41114-NAARN IM MACHLANDE;22;-5;-19,3%;31;0;0,3%;53;-5;-8,9%
41115-PABNEUKIRCHEN;11;1;12,4%;12;1;7,3%;23;2;9,6%
41116-PERG;77;2;3,3%;86;-4;-4,4%;162;-2;-0,9%
41117-RECHBERG;5;1;26,7%;5;1;18,9%;10;2;22,4%
41118-RIED IN DER RIEDMARK;23;-2;-7,0%;33;4;13,9%;57;2;4,3%
41119-SANKT GEORGEN AM WALDE;12;2;15,3%;13;-2;-13,9%;25;-1;-2,0%
41120-SANKT GEORGEN AN DER GUSEN;27;3;13,1%;26;-2;-7,0%;54;1;2,2%
41121-SANKT NIKOLA AN DER DONAU;9;-4;-28,2%;10;-2;-13,0%;19;-5;-20,9%
41122-SANKT THOMAS AM BLASENSTEIN;3;0;-11,6%;5;0;5,7%;8;0;-2,1%
41123-SAXEN;10;-1;-12,4%;13;1;6,1%;23;-1;-2,8%
41124-SCHWERTBERG;43;-2;-3,4%;54;3;5,0%;97;1;1,1%
41125-WALDHAUSEN IM STRUDENGAU;18;-1;-4,7%;28;-2;-5,2%;46;-2;-5,0%
41126-WINDHAAG BEI PERG;9;2;35,0%;14;0;-0,6%;23;2;11,1%
Gesamt;475;-2;-0,5%;569;-15;-2,5%;1.043;-17;-1,6%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Ried 412;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41201-ANDRICHSFURT;6;-1;-13,0%;9;1;13,3%;15;0;1,7%
41202-ANTIESENHOFEN;16;4;28,7%;18;4;25,3%;34;7;26,9%
41203-AUROLZMUENSTER;28;3;10,0%;41;9;27,6%;68;11;19,8%
41204-EBERSCHWANG;20;-1;-6,5%;36;5;15,7%;57;4;6,6%
41205-EITZING;6;0;3,0%;7;1;9,0%;13;1;6,3%
41206-GEIERSBERG;2;0;-13,6%;3;-1;-23,9%;5;-1;-20,6%
41207-GEINBERG;11;0;0,0%;12;-2;-15,8%;24;-2;-9,0%
41208-GURTEN;9;-2;-16,9%;13;-2;-15,5%;22;-4;-16,1%
41209-HOHENZELL;11;4;65,4%;13;-2;-13,0%;25;2;10,9%
41210-KIRCHDORF AM INN;3;-1;-23,9%;3;-1;-27,8%;6;-2;-26,0%
41211-KIRCHHEIM IM INNKREIS;5;1;21,2%;5;-1;-15,5%;10;0;0,0%
41212-LAMBRECHTEN;10;-1;-10,8%;9;-2;-14,1%;19;-3;-12,4%
41213-LOHNSBURG AM KOBERNAUSZERWALD;16;4;35,4%;23;5;27,2%;39;9;30,5%
41214-MEHRNBACH;20;3;14,5%;23;-1;-3,8%;43;2;3,8%
41215-METTMACH;18;0;-2,3%;23;4;19,2%;41;3;8,8%
41216-MOERSCHWANG;1;0;-21,1%;1;0;50,0%;2;0;-4,0%
41217-MUEHLHEIM AM INN;4;1;58,6%;5;0;-4,8%;9;1;15,2%
41218-NEUHOFEN IM INNKREIS;12;-4;-23,1%;22;2;12,7%;33;-1;-3,2%
41219-OBERNBERG AM INN;20;-1;-5,9%;24;3;12,3%;44;1;3,1%
41220-ORT IM INNKREIS;16;-1;-4,4%;17;0;-1,4%;34;-1;-2,9%
41221-PATTIGHAM;8;2;32,9%;9;1;20,0%;16;3;25,8%
41222-PETERSKIRCHEN;4;-3;-39,5%;6;0;7,6%;10;-2;-18,4%
41223-PRAMET;7;0;-5,7%;7;-3;-26,7%;14;-3;-17,7%
